status	nonstandard_field_data_id	nonstandard_sample_id	nonstandard_taxon_name	date	latitude_rounded	longitude_rounded	canonical_match_count	canonical_field_data_ids	canonical_sample_ids	canonical_taxon_names
strict_taxon_date_location	72701	dbgi_86	Dianthus plumarius	20250625111046	7.113257	46.032593	1	72562	dbgi_008647	Dianthus plumarius
strict_taxon_date_location	72702	dbgi_87	Helichrysum graveolens	20250625111454	7.113254	46.032593	1	72563	dbgi_008637	Helichrysum graveolens
strict_taxon_date_location	72703	dbgi_88	Eriogonum umbellatum	20250625111723	7.113238	46.032597	1	72564	dbgi_008527	Eriogonum umbellatum
strict_taxon_date_location	72704	dbgi_89	Micromeria dalmatica	20250625111909	7.113258	46.0326	1	72565	dbgi_008646	Micromeria dalmatica
strict_taxon_date_location	72705	dbgi_90	Globularia bisnagarica	20250625112113	7.113287	46.032608	1	72566	dbgi_008645	Globularia bisnagarica
strict_taxon_date_location	72706	dbgi_91	Dryas octopetala	20250625112303	7.113337	46.03261	1	72567	dbgi_008486	Dryas octopetala
strict_taxon_date_location	72707	dbgi_92	Convallaria majalis	20250625112837	7.113485	46.032635	1	72568	dbgi_008763	Convallaria majalis
strict_taxon_date_location	72708	dbgi_93	Colchicum autumnale	20250625113005	7.113473	46.03267	1	72569	dbgi_008395	Colchicum autumnale
strict_taxon_date_location	72710	dbgi_95	Aegopodium podagraria	20250625113405	7.113481	46.032627	1	72571	dbgi_008419	Aegopodium podagraria
strict_taxon_date_location	72711	dbgi_96	Gentiana lutea	20250625113741	7.113484	46.032665	1	72572	dbgi_008602	Gentiana lutea
strict_taxon_date_location	72712	dbgi_97	Rhododendron brachyanthum	20250625084052	7.113073	46.032623	1	72614	dbgi_008728	Rhododendron brachyanthum
strict_taxon_date_location	72713	dbgi_98	Omphalodes verna	20250625084410	7.113065	46.032623	1	72615	dbgi_008748	Omphalodes verna
strict_taxon_date_location	72714	dbgi_99	Androsaceae sarmentosa	20250625084610	7.11307	46.032616	1	72616	dbgi_008642	Androsaceae sarmentosa
strict_taxon_date_location	72715	dbgi_100	Anemone sylvestris	20250625084943	7.113078	46.032627	1	72617	dbgi_008753	Anemone sylvestris
strict_taxon_date_location	72716	dbgi_101	Euphorbia chamecyparissia	20250625085140	7.11308	46.03263	1	72618	dbgi_008738	Euphorbia chamecyparissia
strict_taxon_date_location	72717	dbgi_102	Euphorbia dulcis	20250625090337	7.113082	46.032623	1	72619	dbgi_008736	Euphorbia dulcis
strict_taxon_date_location	72718	dbgi_103	Anemone nemorosa	20250625092736	7.113088	46.03263	1	72620	dbgi_008516	Anemone nemorosa
strict_taxon_date_location	72720	dbgi_105	Arenaria montana	20250625093307	7.113089	46.032623	1	72622	dbgi_008499	Arenaria montana
strict_taxon_date_location	72723	dbgi_108	Picea abies	20250625094008	7.11306	46.03262	1	72625	dbgi_008466	Picea abies
strict_taxon_date_location	72724	dbgi_109	Saxifraga paniculata	20250625094318	7.11305	46.03262	1	72626	dbgi_008424	Saxifraga paniculata
strict_taxon_date_location	72725	dbgi_110	Rhododendron ferrugineum	20250625094551	7.113059	46.032627	1	72627	dbgi_008573	Rhododendron ferrugineum
strict_taxon_date_location	72726	dbgi_111	Camassia leichtlinii	20250625094719	7.11305	46.032627	1	72628	dbgi_008551	Camassia leichtlinii
strict_taxon_date_location	72727	dbgi_112	Saxifraga lingulata	20250625094953	7.113043	46.032627	1	72629	dbgi_008379	Saxifraga lingulata
strict_taxon_date_location	72728	dbgi_113	Saxifraga franzii	20250625095116	7.113039	46.032627	1	72630	dbgi_008396	Saxifraga franzii
strict_taxon_date_location	72729	dbgi_114	Rhodothamnus chamaecistus	20250625095457	7.113063	46.03264	1	72631	dbgi_008435	Rhodothamnus chamaecistus
strict_taxon_date_location	72730	dbgi_115	Cassiope mertensiana	20250625095809	7.113053	46.03263	1	72632	dbgi_008406	Cassiope mertensiana
strict_taxon_date_location	72731	dbgi_116	Fritillaria pyrenaica	20250625100205	7.113058	46.032642	1	72633	dbgi_008501	Fritillaria pyrenaica
