confidence	rationale	nonstandard_field_data_id	nonstandard_sample_id	canonical_field_data_ids	canonical_sample_ids	taxon_name	date	latitude_rounded	longitude_rounded	canonical_taxon_names
high	nonstandard row has one canonical row with same taxon/date/rounded location	72797	dbgi_147	72764	dbgi_008389	androsace sarmentosa	20250707140145	7.113414	46.03267	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72798	dbgi_148	72765	dbgi_008473	festuca tatrae	20250707140415	7.113411	46.03266	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72799	dbgi_149	72766	dbgi_008404	heuchera americana	20250707140812	7.113392	46.032646	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72800	dbgi_150	72767	dbgi_008505	thymus nitens	20250707140953	7.113376	46.032646	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72801	dbgi_151	72768	dbgi_008510	paeonia lutea	20250707141300	7.113393	46.03264	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72802	dbgi_152	72769	dbgi_008381	linum flavum	20250707141453	7.113377	46.03264	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72803	dbgi_153	72770	dbgi_008497	aillium hymenorrhizum,	20250707141836	7.113354	46.03264	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72804	dbgi_154	72771	dbgi_008384	astrantia major	20250707142119	7.113342	46.03264	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72805	dbgi_155	72772	dbgi_008494	erodium manescavi	20250707142256	7.113344	46.032635	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72806	dbgi_156	72773	dbgi_008403	centaurea haynaldii	20250707142439	7.113325	46.03264	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72807	dbgi_157	72774	dbgi_008387	hemerocellis lilioasphodolus	20250707142716	7.113335	46.032642	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72809	dbgi_159	72776	dbgi_008428	bergenia crassifolia	20250707143443	7.113338	46.032635	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72810	dbgi_160	72777	dbgi_008603	hieracium bombycinum	20250707143624	7.113324	46.032635	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72811	dbgi_161	72778	dbgi_008547	paeonia daurica	20250707143754	7.11332	46.03263	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72812	dbgi_162	72779	dbgi_008508	alyssum alpestre	20250707143955	7.113279	46.032616	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72814	dbgi_164	72781	dbgi_008463	potentilla rupestris	20250707144653	7.113222	46.032623	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72815	dbgi_165	72782	dbgi_008420	allium nutans	20250707144845	7.113247	46.03263	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72816	dbgi_166	72783	dbgi_008432	vaccinium vitis-idaea	20250707150007	7.11349	46.032677	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72817	dbgi_167	72784	dbgi_008383	rhodiola rosea	20250707150204	7.113506	46.032677	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72818	dbgi_168	72785	dbgi_008485	vaccinium myrtillus	20250707150435	7.113491	46.03267	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72819	dbgi_169	72786	dbgi_008427	lonicera caerulea	20250707150811	7.113495	46.03268	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72820	dbgi_170	72787	dbgi_008496	digitalis grandiflora	20250707151019	7.113477	46.03268	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72821	dbgi_171	72788	dbgi_008471	digitalis purpurea	20250707151257	7.11351	46.032696	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72822	dbgi_172	72789	dbgi_008409	arctostaphylos uva-ursi	20250707151504	7.11349	46.032703	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72823	dbgi_173	72790	dbgi_008391	achillea millefolium	20250707151758	7.113492	46.03268	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72824	dbgi_174	72791	dbgi_008477	pulsatilla vulgaris	20250707151947	7.113523	46.032707	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72825	dbgi_175	72792	dbgi_008418	artemisia vulgaris	20250707152216	7.11351	46.032703	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72826	dbgi_176	72793	dbgi_008429	hypericum perforatum	20250707152359	7.113516	46.03273	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72827	dbgi_177	72794	dbgi_008498	hyssopus officinalis	20250707152725	7.113504	46.032703	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72828	dbgi_178	72795	dbgi_008411	thymus pulegioides	20250707153002	7.113477	46.032696	
high	nonstandard row has one canonical row with same taxon/date/rounded location	72829	dbgi_179	72796	dbgi_008417	viola riviniana	20250707153248	7.113453	46.032703	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73041	dbgi_195	72986	dbgi_006943	hippophae rhamnoides	20250715083825	7.113455	46.032642	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73042	dbgi_196	72987	dbgi_006729	centaurea nigra	20250715084018	7.113466	46.03265	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73044	dbgi_198	72989	dbgi_006600	hemerocallis multiflora	20250715090513	7.113399	46.032627	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73045	dbgi_199	72990	dbgi_006679	centaurea nigrescens	20250715090643	7.113388	46.032623	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73046	dbgi_200	72991	dbgi_006687	dianthus seguieri	20250715090830	7.113366	46.03262	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73047	dbgi_201	72992	dbgi_006668	penstemon cobaea	20250715091435	7.113386	46.03275	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73050	dbgi_204	72995	dbgi_006688	hieracium bornmuelleri	20250715092138	7.113387	46.032764	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73053	dbgi_207	72998	dbgi_006657	calamintha menthifolia	20250715093106	7.113357	46.032753	
high	nonstandard row has one canonical row with same taxon/date/rounded location	73054	dbgi_208	72999	dbgi_006674	genista germanica	20250715093444	7.113338	46.032738	
