field_data_id	sample_id	canonical_field_data_ids	canonical_sample_ids	rationale
73186	dbgi_291	73027	dbgi_006753	nonstandard row has one canonical row with same taxon/date/rounded location
73187	dbgi_292	73028	dbgi_006706	nonstandard row has one canonical row with same taxon/date/rounded location
73189	dbgi_294	73030	dbgi_007155	nonstandard row has one canonical row with same taxon/date/rounded location
73190	dbgi_295	73031	dbgi_007130	nonstandard row has one canonical row with same taxon/date/rounded location
73191	dbgi_296	73032	dbgi_006904	nonstandard row has one canonical row with same taxon/date/rounded location
73192	dbgi_297	73033	dbgi_006726	nonstandard row has one canonical row with same taxon/date/rounded location
73193	dbgi_298	73034	dbgi_006856	nonstandard row has one canonical row with same taxon/date/rounded location
73194	dbgi_299	73035	dbgi_006743	nonstandard row has one canonical row with same taxon/date/rounded location
73195	dbgi_300	73036	dbgi_006762	nonstandard row has one canonical row with same taxon/date/rounded location
73196	dbgi_301	73037	dbgi_006707	nonstandard row has one canonical row with same taxon/date/rounded location
73197	dbgi_302	73038	dbgi_006781	nonstandard row has one canonical row with same taxon/date/rounded location
73198	dbgi_303	73039	dbgi_006841	nonstandard row has one canonical row with same taxon/date/rounded location
73199	dbgi_304	73040	dbgi_006842	nonstandard row has one canonical row with same taxon/date/rounded location
73200	dbgi_305	73096	dbgi_006690	nonstandard row has one canonical row with same taxon/date/rounded location
73201	dbgi_306	73097	dbgi_007136	nonstandard row has one canonical row with same taxon/date/rounded location
73202	dbgi_307	73098	dbgi_007167	nonstandard row has one canonical row with same taxon/date/rounded location
73203	dbgi_308	73099	dbgi_006719	nonstandard row has one canonical row with same taxon/date/rounded location
73204	dbgi_309	73100	dbgi_007119	nonstandard row has one canonical row with same taxon/date/rounded location
73205	dbgi_310	73101	dbgi_007174	nonstandard row has one canonical row with same taxon/date/rounded location
73206	dbgi_311	73102	dbgi_007143	nonstandard row has one canonical row with same taxon/date/rounded location
73207	dbgi_312	73103	dbgi_007144	nonstandard row has one canonical row with same taxon/date/rounded location
73208	dbgi_313	73104	dbgi_006970	nonstandard row has one canonical row with same taxon/date/rounded location
73209	dbgi_314	73105	dbgi_006944	nonstandard row has one canonical row with same taxon/date/rounded location
73210	dbgi_315	73106	dbgi_007175	nonstandard row has one canonical row with same taxon/date/rounded location
73211	dbgi_316	73107	dbgi_006610	nonstandard row has one canonical row with same taxon/date/rounded location
73212	dbgi_317	73108	dbgi_006609	nonstandard row has one canonical row with same taxon/date/rounded location
73215	dbgi_320	73111	dbgi_007150	nonstandard row has one canonical row with same taxon/date/rounded location
73216	dbgi_321	73112	dbgi_006605	nonstandard row has one canonical row with same taxon/date/rounded location
73217	dbgi_322	73113	dbgi_006618	nonstandard row has one canonical row with same taxon/date/rounded location
73218	dbgi_323	73114	dbgi_006612	nonstandard row has one canonical row with same taxon/date/rounded location
73219	dbgi_324	73115	dbgi_004139	nonstandard row has one canonical row with same taxon/date/rounded location
73220	dbgi_325	73116	dbgi_006608	nonstandard row has one canonical row with same taxon/date/rounded location
73222	dbgi_327	73118	dbgi_007081	nonstandard row has one canonical row with same taxon/date/rounded location
73223	dbgi_328	73119	dbgi_007061	nonstandard row has one canonical row with same taxon/date/rounded location
73224	dbgi_329	73120	dbgi_007046	nonstandard row has one canonical row with same taxon/date/rounded location
73225	dbgi_330	73121	dbgi_007060	nonstandard row has one canonical row with same taxon/date/rounded location
73226	dbgi_331	73122	dbgi_007063	nonstandard row has one canonical row with same taxon/date/rounded location
73227	dbgi_332	73123	dbgi_007050	nonstandard row has one canonical row with same taxon/date/rounded location
73229	dbgi_334	73125	dbgi_007043	nonstandard row has one canonical row with same taxon/date/rounded location
73230	dbgi_335	73126	dbgi_007139	nonstandard row has one canonical row with same taxon/date/rounded location
73231	dbgi_336	73127	dbgi_007039	nonstandard row has one canonical row with same taxon/date/rounded location
73234	dbgi_339	73130	dbgi_007057	nonstandard row has one canonical row with same taxon/date/rounded location
73235	dbgi_340	73131	dbgi_007142	nonstandard row has one canonical row with same taxon/date/rounded location
73236	dbgi_341	73132	dbgi_007048	nonstandard row has one canonical row with same taxon/date/rounded location
73237	dbgi_342	73133	dbgi_007054	nonstandard row has one canonical row with same taxon/date/rounded location
73238	dbgi_343	73134	dbgi_007058	nonstandard row has one canonical row with same taxon/date/rounded location
73239	dbgi_344	73135	dbgi_007080	nonstandard row has one canonical row with same taxon/date/rounded location
73240	dbgi_345	73136	dbgi_007051	nonstandard row has one canonical row with same taxon/date/rounded location
73241	dbgi_346	73137	dbgi_007138	nonstandard row has one canonical row with same taxon/date/rounded location
73242	dbgi_347	73138	dbgi_007053	nonstandard row has one canonical row with same taxon/date/rounded location
73243	dbgi_348	73139	dbgi_007044	nonstandard row has one canonical row with same taxon/date/rounded location
73244	dbgi_349	73140	dbgi_007084	nonstandard row has one canonical row with same taxon/date/rounded location
73245	dbgi_350	73141	dbgi_007055	nonstandard row has one canonical row with same taxon/date/rounded location
73246	dbgi_351	73142	dbgi_007062	nonstandard row has one canonical row with same taxon/date/rounded location
73247	dbgi_352	73143	dbgi_007091	nonstandard row has one canonical row with same taxon/date/rounded location
73248	dbgi_353	73144	dbgi_006826	nonstandard row has one canonical row with same taxon/date/rounded location
