group_id	group_size	taxon_name	date	latitude_rounded	longitude_rounded	field_data_id	sample_id	collector_fullname	date_created	date_updated
149	4	knautia purpurea	20250715095415	7.113327	46.032734	73007	dbgi_006631	Émilie Lab	2025-08-12T11:52:19.003Z	2025-08-29T12:05:00.826Z
149	4	knautia purpurea	20250715095415	7.113327	46.032734	73062	dbgi_216	Émilie Lab	2025-08-12T11:52:20.812Z	2025-08-14T14:03:16.318Z
149	4	knautia purpurea	20250715095415	7.113327	46.032734	73166	dbgi_271	Émilie Lab	2025-08-12T11:52:24.091Z	2025-08-14T14:03:19.913Z
149	4	knautia purpurea	20250715095415	7.113327	46.032734	73291	dbgi_375	Émilie Lab	2025-08-12T11:52:28.207Z	2025-08-14T14:03:23.890Z
150	4	potentilla repens	20250715095604	7.113323	46.03274	73008	dbgi_006673	Émilie Lab	2025-08-12T11:52:19.036Z	2025-08-29T12:05:00.859Z
150	4	potentilla repens	20250715095604	7.113323	46.03274	73063	dbgi_217	Émilie Lab	2025-08-12T11:52:20.843Z	2025-08-14T14:03:16.353Z
150	4	potentilla repens	20250715095604	7.113323	46.03274	73167	dbgi_272	Émilie Lab	2025-08-12T11:52:24.120Z	2025-08-14T14:03:19.945Z
150	4	potentilla repens	20250715095604	7.113323	46.03274	73292	dbgi_376	Émilie Lab	2025-08-12T11:52:28.242Z	2025-08-14T14:03:23.923Z
151	3	hebe lindsayi	20250715095613	7.11318	46.032757	73113	dbgi_006618	Mazzarine Laboureau	2025-08-12T11:52:22.401Z	2025-08-29T12:05:02.640Z
151	3	hebe lindsayi	20250715095613	7.11318	46.032757	73217	dbgi_322	Mazzarine Laboureau	2025-08-12T11:52:25.729Z	2025-08-14T14:03:21.520Z
151	3	hebe lindsayi	20250715095613	7.11318	46.032757	73342	dbgi_426	Mazzarine Laboureau	2025-08-12T11:52:29.844Z	2025-08-14T14:03:25.392Z
152	3	molinia caerulea	20250715095802	7.113183	46.032745	73114	dbgi_006612	Mazzarine Laboureau	2025-08-12T11:52:22.431Z	2025-08-29T12:05:02.675Z
152	3	molinia caerulea	20250715095802	7.113183	46.032745	73218	dbgi_323	Mazzarine Laboureau	2025-08-12T11:52:25.760Z	2025-08-14T14:03:21.551Z
