issue	id	sample_id	sample_name	taxon_name	date	latitude	longitude	collector_fullname	date_created
invalid_sample_id	72734	dbgi_119		Rhododendron radicans	20250625100949	7.113038	46.03265	Mazzarine Laboureau	2025-08-12T11:52:10.068Z
invalid_sample_id	72735	dbgi_120		Juniperus chinensis	20250625102644	7.113101	46.032578	Mazzarine Laboureau	2025-08-12T11:52:10.098Z
invalid_sample_id	72736	dbgi_121		Centaurea montana	20250625102812	7.1131663	46.03258	Mazzarine Laboureau	2025-08-12T11:52:10.134Z
invalid_sample_id	72737	dbgi_122		Berberis canadensis	20250625103130	7.1131783	46.03258	Mazzarine Laboureau	2025-08-12T11:52:10.168Z
invalid_sample_id	72738	dbgi_123		Vaccinium vitis-idaea	20250625103325	7.113173	46.03259	Mazzarine Laboureau	2025-08-12T11:52:10.202Z
invalid_sample_id	72739	dbgi_124		Sedum ellecombienum	20250625103617	7.1131744	46.03257	Mazzarine Laboureau	2025-08-12T11:52:10.238Z
invalid_sample_id	72740	dbgi_125		Cytisus decumbens	20250625103820	7.113209	46.032574	Mazzarine Laboureau	2025-08-12T11:52:10.269Z
invalid_sample_id	72741	dbgi_126		Gentiana marcailhuana	20250625104043	7.1132174	46.03257	Mazzarine Laboureau	2025-08-12T11:52:10.303Z
invalid_sample_id	72742	dbgi_127			20250625104818	7.1132317	46.03257	Mazzarine Laboureau	2025-08-12T11:52:10.331Z
invalid_sample_id	72743	dbgi_128		Carlina acanthifolia	20250625105142	7.1132383	46.032566	Mazzarine Laboureau	2025-08-12T11:52:10.366Z
invalid_sample_id	72744	dbgi_129		Scabiosa columbaria	20250625105253	7.1132383	46.032566	Mazzarine Laboureau	2025-08-12T11:52:10.393Z
invalid_sample_id	72745	dbgi_130		Astragalus monspessulanus	20250625105709	7.1132455	46.032566	Mazzarine Laboureau	2025-08-12T11:52:10.424Z
invalid_sample_id	72746	dbgi_131		Sedum ochroleucum	20250625105915	7.1132483	46.03257	Mazzarine Laboureau	2025-08-12T11:52:10.458Z
invalid_sample_id	72747	dbgi_132			20250625110240	7.113254	46.03257	Mazzarine Laboureau	2025-08-12T11:52:10.488Z
invalid_sample_id	72748	dbgi_133		Geranium nodosum	20250625110706	7.113341	46.032574	Mazzarine Laboureau	2025-08-12T11:52:10.521Z
invalid_sample_id	72749	dbgi_134			20250625110952	7.1133523	46.03261	Mazzarine Laboureau	2025-08-12T11:52:10.550Z
invalid_sample_id	72750	dbgi_135		Cytisus nigricans	20250625111342	7.113455	46.03256	Mazzarine Laboureau	2025-08-12T11:52:10.582Z
invalid_sample_id	72751	dbgi_136		Abies cephalonica	20250625111715	7.1133957	46.032597	Mazzarine Laboureau	2025-08-12T11:52:10.610Z
invalid_sample_id	72752	dbgi_137		Gentiana angustifolia	20250625112329	7.1133103	46.032593	Mazzarine Laboureau	2025-08-12T11:52:10.650Z
invalid_sample_id	72753	dbgi_138			20250625112705	7.113324	46.0326	Mazzarine Laboureau	2025-08-12T11:52:10.679Z
invalid_sample_id	72754	dbgi_139		Erinus alpinus	20250625112959	7.1133413	46.032604	Mazzarine Laboureau	2025-08-12T11:52:10.710Z
invalid_sample_id	72755	dbgi_140		Potentilla peduncularis	20250625113145	7.113354	46.0326	Mazzarine Laboureau	2025-08-12T11:52:10.744Z
invalid_sample_id	72756	dbgi_141		Jovibarba hirta	20250625113449	7.1133757	46.032593	Mazzarine Laboureau	2025-08-12T11:52:10.777Z
invalid_sample_id	72757	dbgi_142		Polygala vayredae	20250625113742	7.1133814	46.032604	Mazzarine Laboureau	2025-08-12T11:52:10.807Z
invalid_sample_id	72758	dbgi_143		Paeonia officinalis	20250625114111	7.1133847	46.032616	Mazzarine Laboureau	2025-08-12T11:52:10.836Z
invalid_sample_id	72759	dbgi_144		Primula denticulata	20250625114356	7.1134133	46.032604	Mazzarine Laboureau	2025-08-12T11:52:10.865Z
invalid_sample_id	72760	dbgi_145		Potentilla ambigua	20250625114522	7.113443	46.0326	Mazzarine Laboureau	2025-08-12T11:52:10.897Z
invalid_sample_id	72761	dbgi_146		Arctostaphylus uva-ursi	20250625114650	7.113457	46.03257	Mazzarine Laboureau	2025-08-12T11:52:10.924Z
invalid_sample_id	72797	dbgi_147		Androsace sarmentosa	20250707140145	7.113414	46.03267	Émilie Lab	2025-08-12T11:52:12.050Z
invalid_sample_id	72798	dbgi_148		Festuca tatrae	20250707140415	7.113411	46.03266	Émilie Lab	2025-08-12T11:52:12.085Z
invalid_sample_id	72799	dbgi_149		Heuchera americana	20250707140812	7.1133924	46.032646	Émilie Lab	2025-08-12T11:52:12.118Z
invalid_sample_id	72800	dbgi_150		Thymus nitens	20250707140953	7.113376	46.032646	Émilie Lab	2025-08-12T11:52:12.152Z
invalid_sample_id	72801	dbgi_151		Paeonia lutea	20250707141300	7.113393	46.03264	Émilie Lab	2025-08-12T11:52:12.184Z
invalid_sample_id	72802	dbgi_152		Linum flavum	20250707141453	7.1133766	46.03264	Émilie Lab	2025-08-12T11:52:12.215Z
invalid_sample_id	72803	dbgi_153		Aillium hymenorrhizum,	20250707141836	7.1133537	46.03264	Émilie Lab	2025-08-12T11:52:12.248Z
invalid_sample_id	72804	dbgi_154		Astrantia major	20250707142119	7.113342	46.03264	Émilie Lab	2025-08-12T11:52:12.279Z
invalid_sample_id	72805	dbgi_155		Erodium manescavi	20250707142256	7.113344	46.032635	Émilie Lab	2025-08-12T11:52:12.306Z
invalid_sample_id	72806	dbgi_156		Centaurea haynaldii	20250707142439	7.113325	46.03264	Émilie Lab	2025-08-12T11:52:12.342Z
invalid_sample_id	72807	dbgi_157		Hemerocellis lilioasphodolus	20250707142716	7.113335	46.032642	Émilie Lab	2025-08-12T11:52:12.379Z
invalid_sample_id	72808	dbgi_158			20250707143232	7.1133013	46.032642	Émilie Lab	2025-08-12T11:52:12.417Z
invalid_sample_id	72809	dbgi_159		Bergenia crassifolia	20250707143443	7.113338	46.032635	Émilie Lab	2025-08-12T11:52:12.452Z
invalid_sample_id	72810	dbgi_160		Hieracium bombycinum	20250707143624	7.113324	46.032635	Émilie Lab	2025-08-12T11:52:12.487Z
invalid_sample_id	72811	dbgi_161		Paeonia daurica	20250707143754	7.1133204	46.03263	Émilie Lab	2025-08-12T11:52:12.523Z
invalid_sample_id	72812	dbgi_162		Alyssum alpestre	20250707143955	7.113279	46.032616	Émilie Lab	2025-08-12T11:52:12.560Z
invalid_sample_id	72813	dbgi_163			20250707144359	7.1132507	46.03261	Émilie Lab	2025-08-12T11:52:12.596Z
invalid_sample_id	72814	dbgi_164		Potentilla rupestris	20250707144653	7.1132216	46.032623	Émilie Lab	2025-08-12T11:52:12.629Z
invalid_sample_id	72815	dbgi_165		Allium nutans	20250707144845	7.113247	46.03263	Émilie Lab	2025-08-12T11:52:12.661Z
invalid_sample_id	72816	dbgi_166		Vaccinium vitis-idaea	20250707150007	7.11349	46.032677	Émilie Lab	2025-08-12T11:52:12.696Z
invalid_sample_id	72817	dbgi_167		Rhodiola rosea	20250707150204	7.1135063	46.032677	Émilie Lab	2025-08-12T11:52:12.724Z
invalid_sample_id	72818	dbgi_168		Vaccinium myrtillus	20250707150435	7.1134906	46.03267	Émilie Lab	2025-08-12T11:52:12.759Z
invalid_sample_id	72819	dbgi_169		Lonicera caerulea	20250707150811	7.113495	46.03268	Émilie Lab	2025-08-12T11:52:12.787Z
invalid_sample_id	72820	dbgi_170		Digitalis grandiflora	20250707151019	7.113477	46.03268	Émilie Lab	2025-08-12T11:52:12.817Z
invalid_sample_id	72821	dbgi_171		Digitalis purpurea	20250707151257	7.11351	46.032696	Émilie Lab	2025-08-12T11:52:12.851Z
invalid_sample_id	72822	dbgi_172		Arctostaphylos uva-ursi	20250707151504	7.11349	46.032703	Émilie Lab	2025-08-12T11:52:12.885Z
invalid_sample_id	72823	dbgi_173		Achillea millefolium	20250707151758	7.113492	46.03268	Émilie Lab	2025-08-12T11:52:12.921Z
invalid_sample_id	72824	dbgi_174		Pulsatilla vulgaris	20250707151947	7.1135225	46.032707	Émilie Lab	2025-08-12T11:52:12.955Z
invalid_sample_id	72825	dbgi_175		Artemisia vulgaris	20250707152216	7.11351	46.032703	Émilie Lab	2025-08-12T11:52:12.988Z
invalid_sample_id	72826	dbgi_176		Hypericum perforatum	20250707152359	7.113516	46.03273	Émilie Lab	2025-08-12T11:52:13.020Z
invalid_sample_id	72827	dbgi_177		Hyssopus officinalis	20250707152725	7.1135035	46.032703	Émilie Lab	2025-08-12T11:52:13.053Z
invalid_sample_id	72828	dbgi_178		Thymus pulegioides	20250707153002	7.113477	46.032696	Émilie Lab	2025-08-12T11:52:13.092Z
invalid_sample_id	72829	dbgi_179		Viola riviniana	20250707153248	7.1134534	46.032703	Émilie Lab	2025-08-12T11:52:13.122Z
invalid_sample_id	72839	dbgi_180		Helictotrichon sedenense	20250707142830	7.113177	46.0326	Mazzarine Laboureau	2025-08-12T11:52:13.462Z
invalid_sample_id	72841	dbgi_181		Rhododendron schlippenbachii	20250707143217	7.113163	46.032616	Mazzarine Laboureau	2025-08-12T11:52:13.523Z
invalid_sample_id	72845	dbgi_182		Hieracium laticeps	20250707144526	7.1131916	46.032597	Mazzarine Laboureau	2025-08-12T11:52:13.652Z
invalid_sample_id	72846	dbgi_183		Dianthus monspessulanus	20250707144713	7.113198	46.032604	Mazzarine Laboureau	2025-08-12T11:52:13.687Z
invalid_sample_id	72847	dbgi_184		Festuca carpatica	20250707144917	7.11321	46.032604	Mazzarine Laboureau	2025-08-12T11:52:13.722Z
invalid_sample_id	72850	dbgi_185		Chamaecytisus purpureus	20250707145558	7.113145	46.032616	Mazzarine Laboureau	2025-08-12T11:52:13.821Z
invalid_sample_id	72852	dbgi_186		Thymus praecox	20250707150751	7.113267	46.032665	Mazzarine Laboureau	2025-08-12T11:52:13.881Z
invalid_sample_id	72854	dbgi_187			20250707151601	7.113362	46.032692	Mazzarine Laboureau	2025-08-12T11:52:13.949Z
invalid_sample_id	72855	dbgi_188			20250707151948	7.113392	46.03268	Mazzarine Laboureau	2025-08-12T11:52:13.982Z
invalid_sample_id	72859	dbgi_189			20250707153337	7.11342	46.032722	Mazzarine Laboureau	2025-08-12T11:52:14.112Z
invalid_sample_id	72948	dbgi_190		Phlodouglasii Hook.	20250714154842	7.1128683	46.03276	Mazzarine Laboureau	2025-08-12T11:52:17.047Z
invalid_sample_id	72949	dbgi_191		Taxus cuspidata	20250714155220	7.112901	46.03278	Mazzarine Laboureau	2025-08-12T11:52:17.076Z
invalid_sample_id	72951	dbgi_192		Saxifraga lingulata	20250714155801	7.112903	46.032787	Mazzarine Laboureau	2025-08-12T11:52:17.142Z
invalid_sample_id	72956	dbgi_193		Androsace foliosa	20250714162049	7.1130285	46.032795	Mazzarine Laboureau	2025-08-12T11:52:17.291Z
invalid_sample_id	72962	dbgi_194		Gentiana macrophylla	20250714163621	7.1130476	46.032814	Mazzarine Laboureau	2025-08-12T11:52:17.486Z
invalid_sample_id	73041	dbgi_195		Hippophae rhamnoides	20250715083825	7.1134553	46.032642	Émilie Lab	2025-08-12T11:52:20.094Z
invalid_sample_id	73042	dbgi_196		Centaurea nigra	20250715084018	7.1134663	46.03265	Émilie Lab	2025-08-12T11:52:20.127Z
invalid_sample_id	73043	dbgi_197			20250715090257	7.113402	46.032673	Émilie Lab	2025-08-12T11:52:20.160Z
