project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	issue
jbp	74242	dbgi_009828	canonical	dbgi_009828	Spiraea nipponica			Spiraea nipponica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818132319	14.415343	50.12161	out_of_ch_range	
jbp	74243	dbgi_009831	canonical	dbgi_009831	Spiraea japonica			Spiraea japonica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818132746	14.415308	50.121582	out_of_ch_range	
jbp	74244	dbgi_009863	canonical	dbgi_009863	Spiraea japonica			Spiraea japonica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818133104	14.415308	50.121582	out_of_ch_range	
jbp	74245	dbgi_009912	canonical	dbgi_009912	Spiraea japonica			Spiraea japonica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818133500	14.415308	50.121582	out_of_ch_range	
jbp	74246	dbgi_009839	canonical	dbgi_009839	Spiraea media			Spiraea media	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818134019	14.418057	50.12301	out_of_ch_range	
jbp	74247	dbgi_009874	canonical	dbgi_009874	Spiraea media			Spiraea media	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818134314	14.418057	50.12301	out_of_ch_range	
jbp	74248	dbgi_009888	canonical	dbgi_009888	Spiraea media			Spiraea media	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818134558	14.418057	50.12301	out_of_ch_range	
jbp	74249	dbgi_009901	canonical	dbgi_009901	Spiraea humilis			Spiraea humilis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818134827	14.418001	50.123	out_of_ch_range	
jbp	74250	dbgi_009867	canonical	dbgi_009867	Spiraea media			Spiraea media	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818135247	14.4180565	50.12301	out_of_ch_range	
jbp	74251	dbgi_009913	canonical	dbgi_009913	Spiraea humilis			Spiraea humilis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818135546	14.417999	50.123	out_of_ch_range	
jbp	74252	dbgi_009833	canonical	dbgi_009833	Spiraea humilis			Spiraea humilis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818135838	14.417999	50.123	out_of_ch_range	
jbp	74253	dbgi_009864	canonical	dbgi_009864	Spiraea humilis			Spiraea humilis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818140043	14.417999	50.123	out_of_ch_range	
jbp	74254	dbgi_009820	canonical	dbgi_009820				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818140313	14.416558	50.12256	out_of_ch_range	
jbp	74255	dbgi_009879	canonical	dbgi_009879				Spiraea japonica ‘Shirobana’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818140833	14.416558	50.12256	out_of_ch_range	
