project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	suggested_latitude	suggested_longitude	issue
chemical_ecology	70149	chec_000179	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414181908	6.8055263	47.0925	looks_swapped_ch_lat_lon	47.0925	6.8055263	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70150	chec_000045	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414182026	6.923245	46.99142	looks_swapped_ch_lat_lon	46.99142	6.923245	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70151	chec_000134	canonical		Plantago lanceolata			Plantago lanceolata	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414183516	6.806011	47.09255	looks_swapped_ch_lat_lon	47.09255	6.806011	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70152	chec_000121	canonical		Plantago lanceolata			Plantago lanceolata	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414185033	6.8065157	47.092854	looks_swapped_ch_lat_lon	47.092854	6.8065157	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70153	chec_000119	canonical		Plantago lanceolata			Plantago lanceolata	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414191026	6.8093123	47.093964	looks_swapped_ch_lat_lon	47.093964	6.8093123	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70154	chec_000044	canonical		Bellis perennis			Bellis perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414183810	6.9199886	46.990746	looks_swapped_ch_lat_lon	46.990746	6.9199886	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70155	chec_000125	canonical		Bellis perennis			Bellis perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414192444	6.810714	47.095127	looks_swapped_ch_lat_lon	47.095127	6.810714	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70156	chec_000270	canonical		Bellis perennis			Bellis perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250415171733	6.806207	47.09316	looks_swapped_ch_lat_lon	47.09316	6.806207	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70157	chec_000273	canonical		Bellis perennis			Bellis perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250415172651	6.8078246	47.094006	looks_swapped_ch_lat_lon	47.094006	6.8078246	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70158	chec_000008	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250412111615	6.6266932	46.51917	looks_swapped_ch_lat_lon	46.51917	6.6266932	coordinates_look_swapped_ch_lat_lon
