project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	suggested_latitude	suggested_longitude	issue
bioblitz_vinesch	67653	vine_000462	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608125421	7.8745785	46.26149	looks_swapped_ch_lat_lon	46.26149	7.8745785	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67654	vine_000466	canonical		Trifolium pratense			Trifolium pratense	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608130343	7.8745785	46.26149	looks_swapped_ch_lat_lon	46.26149	7.8745785	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67655	vine_000480	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608130833	7.874593	46.261505	looks_swapped_ch_lat_lon	46.261505	7.874593	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67656	vine_000224	canonical		Bryophyta			Bryophyta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608130120	7.8744693	46.261494	looks_swapped_ch_lat_lon	46.261494	7.8744693	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67657	vine_000227	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608130538	7.874482	46.26149	looks_swapped_ch_lat_lon	46.26149	7.874482	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67658	vine_000196	canonical		Bryophyta			Bryophyta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608130855	7.8744597	46.261494	looks_swapped_ch_lat_lon	46.261494	7.8744597	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67659	vine_000241	canonical		Bryophyta			Bryophyta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608131318	7.874471	46.261494	looks_swapped_ch_lat_lon	46.261494	7.874471	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67660	vine_000219	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608131704	7.8744664	46.261486	looks_swapped_ch_lat_lon	46.261486	7.8744664	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67661	vine_000367	canonical		Plantae			Plantae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608132118	7.874459	46.261486	looks_swapped_ch_lat_lon	46.261486	7.874459	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67662	vine_000254	canonical		Convolvulus arvensis			Convolvulus arvensis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608115323	7.874411	46.261658	looks_swapped_ch_lat_lon	46.261658	7.874411	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67663	vine_000395	canonical		Juglans regia			Juglans regia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608120203	7.8744683	46.26164	looks_swapped_ch_lat_lon	46.26164	7.8744683	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67664	vine_000274	canonical		Heracleum			Heracleum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608120917	7.874226	46.261494	looks_swapped_ch_lat_lon	46.261494	7.874226	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67665	vine_000245	canonical		Humulus lupulus			Humulus lupulus	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608122132	7.874292	46.261673	looks_swapped_ch_lat_lon	46.261673	7.874292	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67666	vine_000192	canonical		Asparagus officinalis			Asparagus officinalis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123114	7.874295	46.261723	looks_swapped_ch_lat_lon	46.261723	7.874295	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67667	vine_000284	canonical		Torilis arvensis			Torilis arvensis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123945	7.8743353	46.261734	looks_swapped_ch_lat_lon	46.261734	7.8743353	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67668	vine_000373	canonical		Verbascum nigrum			Verbascum nigrum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608124645	7.8743916	46.261433	looks_swapped_ch_lat_lon	46.261433	7.8743916	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67669	vine_000251	canonical		Campanula trachelium			Campanula trachelium	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608125031	7.874391	46.261425	looks_swapped_ch_lat_lon	46.261425	7.874391	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67670	vine_000137	canonical		Tragopogon dubius			Tragopogon dubius	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608130217	7.874512	46.261623	looks_swapped_ch_lat_lon	46.261623	7.874512	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67671	vine_000175	canonical		Melica ciliata			Melica ciliata	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608130710	7.8745017	46.261627	looks_swapped_ch_lat_lon	46.261627	7.8745017	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67672	vine_000255	canonical		Artemisia			Artemisia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608115434	7.874531	46.26175	looks_swapped_ch_lat_lon	46.26175	7.874531	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67673	vine_000236	canonical		Plantae			Plantae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608120414	7.874517	46.26175	looks_swapped_ch_lat_lon	46.26175	7.874517	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67674	vine_000247	canonical		Plantae			Plantae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608120813	7.8745165	46.26175	looks_swapped_ch_lat_lon	46.26175	7.8745165	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67675	vine_000266	canonical		Plantae			Plantae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608121147	7.8745112	46.26175	looks_swapped_ch_lat_lon	46.26175	7.8745112	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67676	vine_000443	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608121704	7.8745184	46.26175	looks_swapped_ch_lat_lon	46.26175	7.8745184	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67677	vine_000437	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608121926	7.8745184	46.26175	looks_swapped_ch_lat_lon	46.26175	7.8745184	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67678	vine_000436	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608122227	7.8745136	46.26175	looks_swapped_ch_lat_lon	46.26175	7.8745136	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67679	vine_000213	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608122522	7.874511	46.261753	looks_swapped_ch_lat_lon	46.261753	7.874511	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67680	vine_000270	canonical		Plantae			Plantae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123001	7.874508	46.261753	looks_swapped_ch_lat_lon	46.261753	7.874508	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67681	vine_000459	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123346	7.874506	46.26175	looks_swapped_ch_lat_lon	46.26175	7.874506	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67682	vine_000456	canonical		Juglans regia			Juglans regia	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608125057	7.874491	46.261696	looks_swapped_ch_lat_lon	46.261696	7.874491	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67683	vine_000164	canonical		Plantae			Plantae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608125405	7.8744206	46.261673	looks_swapped_ch_lat_lon	46.261673	7.8744206	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67684	vine_000243	canonical		Convolvulaceae			Convolvulaceae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608125706	7.8744164	46.261673	looks_swapped_ch_lat_lon	46.261673	7.8744164	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67685	vine_000197	canonical		Sedum album			Sedum album	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608114347	7.874507	46.2616	looks_swapped_ch_lat_lon	46.2616	7.874507	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67686	vine_000408	canonical		Potentilla			Potentilla	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608115121	7.874507	46.2616	looks_swapped_ch_lat_lon	46.2616	7.874507	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67687	vine_000246	canonical		Fragaria vesca			Fragaria vesca	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608115901	7.874507	46.2616	looks_swapped_ch_lat_lon	46.2616	7.874507	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67688	vine_000276	canonical		Carduus acanthoides			Carduus acanthoides	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608120421	7.874507	46.2616	looks_swapped_ch_lat_lon	46.2616	7.874507	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67689	vine_000252	canonical		Trifolium			Trifolium	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608121249	7.8742228	46.26151	looks_swapped_ch_lat_lon	46.26151	7.8742228	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67690	vine_000230	canonical		Orobanche			Orobanche	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123218	7.8742967	46.26173	looks_swapped_ch_lat_lon	46.26173	7.8742967	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67691	vine_000248	canonical		Galium aparine			Galium aparine	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123853	7.8742967	46.26173	looks_swapped_ch_lat_lon	46.26173	7.8742967	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67692	vine_000260	canonical		Plantago media			Plantago media	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608125128	7.8746433	46.26148	looks_swapped_ch_lat_lon	46.26148	7.8746433	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67693	vine_000278	canonical		Medicago lupulina			Medicago lupulina	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608130323	7.8745785	46.261486	looks_swapped_ch_lat_lon	46.261486	7.8745785	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67694	vine_000380	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608152321	7.874558	46.26171	looks_swapped_ch_lat_lon	46.26171	7.874558	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67695	vine_000374	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608152743	7.874558	46.26171	looks_swapped_ch_lat_lon	46.26171	7.874558	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67696	vine_000493	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608150737	7.8744597	46.26153	looks_swapped_ch_lat_lon	46.26153	7.8744597	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67697	vine_000489	canonical		Plantae			Plantae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608151452	7.874486	46.26154	looks_swapped_ch_lat_lon	46.26154	7.874486	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67698	vine_000486	canonical		Quercus			Quercus	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608151953	7.8744864	46.26155	looks_swapped_ch_lat_lon	46.26155	7.8744864	coordinates_look_swapped_ch_lat_lon
