group_id	group_size	fingerprint	project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status
105	4	jbc||20250715102612|7.113289|46.03276	jbc	73071	dbgi_225	short_numeric_suffix	dbgi_000225				20250715102612	7.113289	46.03276	looks_swapped_ch_lat_lon
105	4	jbc||20250715102612|7.113289|46.03276	jbc	73175	dbgi_280	short_numeric_suffix	dbgi_000280				20250715102612	7.113289	46.03276	looks_swapped_ch_lat_lon
105	4	jbc||20250715102612|7.113289|46.03276	jbc	73300	dbgi_384	short_numeric_suffix	dbgi_000384				20250715102612	7.113289	46.03276	looks_swapped_ch_lat_lon
106	4	jbc||20250715104921|7.11331|46.032772	jbc	73025	dbgi_006736	canonical	dbgi_006736				20250715104921	7.1133103	46.032772	looks_swapped_ch_lat_lon
106	4	jbc||20250715104921|7.11331|46.032772	jbc	73080	dbgi_234	short_numeric_suffix	dbgi_000234				20250715104921	7.1133103	46.032772	looks_swapped_ch_lat_lon
106	4	jbc||20250715104921|7.11331|46.032772	jbc	73184	dbgi_289	short_numeric_suffix	dbgi_000289				20250715104921	7.1133103	46.032772	looks_swapped_ch_lat_lon
106	4	jbc||20250715104921|7.11331|46.032772	jbc	73309	dbgi_393	short_numeric_suffix	dbgi_000393				20250715104921	7.1133103	46.032772	looks_swapped_ch_lat_lon
107	3	jbc||20250715105102|7.113421|46.03276	jbc	73124	dbgi_007078	canonical	dbgi_007078				20250715105102	7.1134205	46.03276	looks_swapped_ch_lat_lon
107	3	jbc||20250715105102|7.113421|46.03276	jbc	73228	dbgi_333	short_numeric_suffix	dbgi_000333				20250715105102	7.1134205	46.03276	looks_swapped_ch_lat_lon
107	3	jbc||20250715105102|7.113421|46.03276	jbc	73353	dbgi_437	short_numeric_suffix	dbgi_000437				20250715105102	7.1134205	46.03276	looks_swapped_ch_lat_lon
108	3	jbc||20250715105855|7.113397|46.032772	jbc	73128	dbgi_007042	canonical	dbgi_007042				20250715105855	7.1133966	46.032772	looks_swapped_ch_lat_lon
108	3	jbc||20250715105855|7.113397|46.032772	jbc	73232	dbgi_337	short_numeric_suffix	dbgi_000337				20250715105855	7.1133966	46.032772	looks_swapped_ch_lat_lon
108	3	jbc||20250715105855|7.113397|46.032772	jbc	73357	dbgi_441	short_numeric_suffix	dbgi_000441				20250715105855	7.1133966	46.032772	looks_swapped_ch_lat_lon
109	3	jbc||20250715110057|7.113349|46.032776	jbc	73129	dbgi_007045	canonical	dbgi_007045				20250715110057	7.1133494	46.032776	looks_swapped_ch_lat_lon
109	3	jbc||20250715110057|7.113349|46.032776	jbc	73233	dbgi_338	short_numeric_suffix	dbgi_000338				20250715110057	7.1133494	46.032776	looks_swapped_ch_lat_lon
109	3	jbc||20250715110057|7.113349|46.032776	jbc	73358	dbgi_442	short_numeric_suffix	dbgi_000442				20250715110057	7.1133494	46.032776	looks_swapped_ch_lat_lon
110	4	jbc||20250715110253|7.113306|46.032787	jbc	73029	dbgi_006819	canonical	dbgi_006819				20250715110253	7.1133056	46.032787	looks_swapped_ch_lat_lon
110	4	jbc||20250715110253|7.113306|46.032787	jbc	73084	dbgi_238	short_numeric_suffix	dbgi_000238				20250715110253	7.1133056	46.032787	looks_swapped_ch_lat_lon
110	4	jbc||20250715110253|7.113306|46.032787	jbc	73188	dbgi_293	short_numeric_suffix	dbgi_000293				20250715110253	7.1133056	46.032787	looks_swapped_ch_lat_lon
110	4	jbc||20250715110253|7.113306|46.032787	jbc	73313	dbgi_397	short_numeric_suffix	dbgi_000397				20250715110253	7.1133056	46.032787	looks_swapped_ch_lat_lon
111	2	jbc||20250715130601|7.113209|46.032776	jbc	73251	dbgi_006779	canonical	dbgi_006779				20250715130601	7.1132092	46.032776	looks_swapped_ch_lat_lon
111	2	jbc||20250715130601|7.113209|46.032776	jbc	73376	dbgi_460	short_numeric_suffix	dbgi_000460				20250715130601	7.1132092	46.032776	looks_swapped_ch_lat_lon
112	2	jbc||20250715132512|7.113179|46.032795	jbc	73258	dbgi_006817	canonical	dbgi_006817				20250715132512	7.113179	46.032795	looks_swapped_ch_lat_lon
112	2	jbc||20250715132512|7.113179|46.032795	jbc	73383	dbgi_467	short_numeric_suffix	dbgi_000467				20250715132512	7.113179	46.032795	looks_swapped_ch_lat_lon
113	2	jbc||20250715134135|7.113075|46.032867	jbc	73264	dbgi_006752	canonical	dbgi_006752				20250715134135	7.1130753	46.032867	looks_swapped_ch_lat_lon
113	2	jbc||20250715134135|7.113075|46.032867	jbc	73389	dbgi_473	short_numeric_suffix	dbgi_000473				20250715134135	7.1130753	46.032867	looks_swapped_ch_lat_lon
114	2	jbc||20250715134517|7.113085|46.032867	jbc	73265	dbgi_006791	canonical	dbgi_006791				20250715134517	7.1130853	46.032867	looks_swapped_ch_lat_lon
114	2	jbc||20250715134517|7.113085|46.032867	jbc	73390	dbgi_474	short_numeric_suffix	dbgi_000474				20250715134517	7.1130853	46.032867	looks_swapped_ch_lat_lon
115	2	jbc||20250715135255|7.113135|46.032913	jbc	73267	dbgi_006778	canonical	dbgi_006778				20250715135255	7.113135	46.032913	looks_swapped_ch_lat_lon
115	2	jbc||20250715135255|7.113135|46.032913	jbc	73392	dbgi_476	short_numeric_suffix	dbgi_000476				20250715135255	7.113135	46.032913	looks_swapped_ch_lat_lon
