"Filename","Extension","Localisation.in.Sciex.OS.project","Rack","Plate.position","Comment","sample_id","latitude","x_coord","y_coord","date_updated","user_created","id","date_created","longitude","collector_fullname","observation_subject","inat_upload","is_wild","taxon_name","no_name_on_list","picture_panel","picture_general","picture_detail","picture_cut","picture_panel_label","collector_orcid","collector_inat","qfield_project","name_proposition","ipen","date","geometry.type","geometry.coordinates"
"20261703_Mazz_Sample_drog_000342_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000342_01",2,"B11","plate 2","drog_000342",NA,NA,NA,"2026-07-21T12:11:45.275Z","053e0368-4ed8-4569-a070-81a22ad13957",74765,"2026-01-29T15:12:56.119Z",NA,"Emmanuel Defossez","Root",1,1,"",1,"DCIM/droguier_jbn/Glycyrrhiza glabra_drog_000342_01.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra_drog_000373_02.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra_drog_000342_03.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra_drog_000342_04.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra_drog_000342_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Glycyrrhiza glabra",NA,20260126143733,"",""
"20261703_Mazz_Sample_drog_000354_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000354_01",2,"B12","plate 2","drog_000354",NA,NA,NA,"2026-07-21T12:11:46.166Z","053e0368-4ed8-4569-a070-81a22ad13957",74816,"2026-01-29T15:12:58.155Z",NA,"Emmanuel Defossez","Flower",1,1,"",1,"DCIM/droguier_jbn/Tilia cordata_drog_000354_01.jpg","DCIM/droguier_jbn/Vaccinium myrtillus_drog_000485_02.jpg","DCIM/droguier_jbn/Tilia cordata_drog_000354_03.jpg","DCIM/droguier_jbn/Tilia cordata_drog_000354_04.jpg","DCIM/droguier_jbn/Tilia cordata_drog_000354_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Tilia cordata",NA,20260126162057,"",""
"20261703_Mazz_Sample_drog_000178_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000178_01",2,"C1","plate 2","drog_000178",NA,NA,NA,"2026-07-21T12:50:40.498Z","053e0368-4ed8-4569-a070-81a22ad13957",74744,"2026-01-29T15:12:55.338Z",NA,"Emmanuel Defossez","Seed",0,1,"Carum_carvi_L",0,"DCIM/droguier_jbn/Carum_carvi_L_drog_000178_01.jpg","DCIM/droguier_jbn/Carum_carvi_L_drog_000259_02.jpg","DCIM/droguier_jbn/Carum_carvi_L_drog_000178_03.jpg","DCIM/droguier_jbn/Carum_carvi_L_drog_000178_04.jpg","DCIM/droguier_jbn/Carum_carvi_L_drog_000178_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260121154311,"",""
"20261703_Mazz_Sample_drog_000461_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000461_01",2,"C2","plate 2","drog_000461",NA,NA,NA,"2026-07-21T12:11:39.257Z","053e0368-4ed8-4569-a070-81a22ad13957",74391,"2026-01-29T15:12:41.044Z",NA,"Emmanuel Defossez","Leaf",1,0,"",1,"DCIM/droguier_jbn/Senna alexandrina_drog_000461_01.jpg","DCIM/droguier_jbn/Senna alexandrina_drog_000544_02.jpg","DCIM/droguier_jbn/Senna alexandrina_drog_000461_03.jpg","DCIM/droguier_jbn/Senna alexandrina_drog_000461_04.jpg","DCIM/droguier_jbn/Senna alexandrina_drog_000461_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Senna alexandrina",NA,20260126095129,"",""
"20261703_Mazz_Sample_drog_000335_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000335_01",2,"C3","plate 2","drog_000335",NA,NA,NA,"2026-07-21T12:50:40.934Z","053e0368-4ed8-4569-a070-81a22ad13957",74797,"2026-01-29T15:12:57.344Z",NA,"Emmanuel Defossez","Leaf",1,1,"Menyanthes_trifoliata_L",0,"DCIM/droguier_jbn/Menyanthes_trifoliata_L_drog_000335_01.jpg","DCIM/droguier_jbn/Vaccinium myrtillus_drog_000485_02.jpg","DCIM/droguier_jbn/Menyanthes_trifoliata_L_drog_000335_03.jpg","DCIM/droguier_jbn/Menyanthes_trifoliata_L_drog_000335_04.jpg","DCIM/droguier_jbn/Menyanthes_trifoliata_L_drog_000335_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260126154229,"",""
"20261703_Mazz_Sample_drog_000147_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000147_01",2,"C4","plate 2","drog_000147",NA,NA,NA,"2026-07-21T12:50:37.693Z","053e0368-4ed8-4569-a070-81a22ad13957",74352,"2026-01-29T15:12:38.945Z",NA,"Emmanuel Defossez","Root",0,1,"Valeriana_officinalis_L",0,"DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000147_01.jpg","DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000147_02.jpg","DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000147_03.jpg","DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000147_04.jpg","DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000147_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260123105954,"",""
"20261703_Mazz_Sample_drog_000033_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000033_01",2,"C5","plate 2","drog_000033",6.9343843,6.9343843,47.000084,"2026-07-21T12:11:41.271Z","053e0368-4ed8-4569-a070-81a22ad13957",74509,"2026-01-29T15:12:45.363Z",47.000084,"Emmanuel Defossez","Root",1,1,"Gentiana_lutea_L",0,"DCIM/droguier_jbn/Gentiana_lutea_L_drog_000033_01.jpg","DCIM/droguier_jbn/Gentiana_lutea_L_drog_000033_02.jpg","DCIM/droguier_jbn/Gentiana_lutea_L_drog_000033_03.jpg","DCIM/droguier_jbn/Gentiana_lutea_L_drog_000033_04.jpg","DCIM/droguier_jbn/Gentiana_lutea_L_drog_000033_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260113114115,"Point","[6.934384509295905,47.000084404877065]"
"20261703_Mazz_Sample_drog_000348_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000348_01",2,"C6","plate 2","drog_000348",NA,NA,NA,"2026-07-21T12:50:38.066Z","053e0368-4ed8-4569-a070-81a22ad13957",74414,"2026-01-29T15:12:42.071Z",NA,"Emmanuel Defossez","Fruit",1,0,"Thymus_vulgaris_L",0,"DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000348_01.jpg","DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000327_02.jpg","DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000348_03.jpg","DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000348_04.jpg","DCIM/droguier_jbn/Thymus_vulgaris_L_drog_000348_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260126110841,"",""
"20261703_Mazz_Sample_drog_000314_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000314_01",2,"C7","plate 2","drog_000314",NA,NA,NA,"2026-07-21T12:11:45.612Z","053e0368-4ed8-4569-a070-81a22ad13957",74779,"2026-01-29T15:12:56.643Z",NA,"Emmanuel Defossez","Root",1,1,"",1,"DCIM/droguier_jbn/Glycyrrhiza glabra_drog_000314_01.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra_drog_000373_02.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra_drog_000314_03.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra_drog_000314_04.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra_drog_000314_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Glycyrrhiza glabra",NA,20260126150625,"",""
"20261703_Mazz_Sample_drog_000003_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000003_01",2,"C8","plate 2","drog_000003",6.934525,6.934525,47.000164,"2026-07-21T12:11:40.519Z","053e0368-4ed8-4569-a070-81a22ad13957",74479,"2026-01-29T15:12:44.335Z",47.000164,"Emmanuel Defossez","Stems",1,1,"",1,"DCIM/droguier_jbn/Quercus petraea_drog_000003_01.jpg","DCIM/droguier_jbn/Quercus petraea_drog_000003_02.jpg","DCIM/droguier_jbn/Quercus petraea_drog_000003_03.jpg","DCIM/droguier_jbn/Quercus petraea_drog_000003_04.jpg","DCIM/droguier_jbn/Quercus petraea_drog_000003_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Quercus petraea",NA,20260112153847,"Point","[6.934524838714796,47.00016572096371]"
