original_sample_id	ms_container_id	extraction_container_id	original_sample_container_id	qfield_project	profile_mode	field_collector_fullname	field_taxon_name	field_latitude	field_longitude	field_comment_eco	field_weather	field_sample_name	field_geometry_coordinates	field_date	extraction_dried_weight	extraction_solvent_volume	extraction_dried_weight_unit_symbol	extraction_solvent_volume_unit_symbol	extraction_method_method_name	aliquot_aliquot_volume	aliquot_volume_unit_symbol	ms_filename	ms_injection_volume	ms_injection_volume_unit_symbol	ms_injection_method_method_name	ms_instrument_instrument_id	ms_instrument_model_instrument_model	ms_instrument_location_room_name	watcher_exact_filename_match	watcher_file_path	watcher_file_name	watcher_converted_file_sha1	watcher_acquisition_date	watcher_polarity	watcher_spectrum_count	watcher_chromatogram_count	watcher_instrument_model	watcher_ionization_source	watcher_analyzer	watcher_detector	watcher_source_file_names	watcher_raw_file_sha1
dbgi_000889			dbgi_000889	jbuf				7.1566296	46.79243			Asphodelus ramosus L. subsp. ramosus	[7.156629485847249, 46.79243215838012]																													
dbgi_000896			dbgi_000896	jbuf				7.1566133	46.792446			Hemerocallis fulva (L.) L.	[7.156613535397852, 46.792446673474046]																													
dbgi_000893			dbgi_000893	jbuf				7.156618	46.79246			Gladiolus murielae Kelway	[7.156618084543595, 46.79246080759972]																													
dbgi_000567			dbgi_000567	jbuf				7.1566105	46.792465			Crocus sativus L.	[7.156610651548958, 46.7924645762574]																													
dbgi_000890			dbgi_000890	jbuf				7.156576	46.79243			Brassica napus subsp. rapifera Metzg.	[7.156576166751117, 46.792429507483]																													
dbgi_000560			dbgi_000560	jbuf				7.1565785	46.792423			Brassica oleracea L. Gongylodes Group	[7.156578312535107, 46.7924249431163]																													
dbgi_000544			dbgi_000544	jbuf				7.156589	46.792404			Brassica oleracea L. Rubra Group	[7.156588987880704, 46.7924048377741]																													
dbgi_000556			dbgi_000556	jbuf				7.156591	46.792404			Brassica oleracea L. Capitata Group	[7.156591030399165, 46.79240247703534]																													
dbgi_000895			dbgi_000895	jbuf				7.1565957	46.7924			Brassica oleracea L. Gemmifera Group	[7.156595491003321, 46.79239856607883]																													
dbgi_000892			dbgi_000892	jbuf				7.1565943	46.7924			Brassica oleracea L. Sabauda Group	[7.156594445347292, 46.79240065043005]																													
dbgi_000546			dbgi_000546	jbuf				7.156598	46.792397			Brassica oleracea L. Sabellica Group	[7.156598226875727, 46.79239635998131]																													
dbgi_000552			dbgi_000552	jbuf				7.156602	46.792393			Aaunknown	[7.156602016868182, 46.79239295110713]																													
dbgi_000517			dbgi_000517	jbuf				7.1566067	46.792385			Brassica oleracea L. subsp. oleracea	[7.15660685544328, 46.792384408432646]																													
dbgi_000894			dbgi_000894	jbuf				7.1566105	46.79238			Koeleria macrantha (Ledeb.) Schult.	[7.156610579758671, 46.792381035377126]																													
dbgi_000883			dbgi_000883	jbuf				7.156602	46.792377			Calamagrostis epigejos Roth.	[7.156601853960314, 46.79237659698329]																													
dbgi_000888			dbgi_000888	jbuf				7.1566057	46.792374			Helictotrichon pubescens Pilg.	[7.156605764474227, 46.79237268466276]																													
dbgi_000899			dbgi_000899	jbuf				7.156614	46.792374			Anthoxanthum odoratum L.	[7.156613650764199, 46.79237487211395]																													
dbgi_000876			dbgi_000876	jbuf				7.1566086	46.792366			Holcus lanatus L.	[7.156608345442956, 46.792367554661176]																													
dbgi_000886			dbgi_000886	jbuf				7.1566124	46.792362			Ammophila arenaria (L.) Link	[7.156612627927583, 46.79236264476801]																													
dbgi_000885			dbgi_000885	jbuf				7.156621	46.792366			Agrostis capillaris L.	[7.156620931581494, 46.79236516608479]																													
dbgi_000898			dbgi_000898	jbuf				7.1566234	46.792362			Briza media L.	[7.1566232040308, 46.79236142061677]																													
dbgi_000379			dbgi_000379	jbuf				7.156703	46.7925			Cyclamen purpurascens Mill.	[7.156702933097906, 46.79250014807478]																													
dbgi_000503			dbgi_000503	jbuf				7.1571026	46.79242				[7.157102638859279, 46.79242014940453]																													
dbgi_000881				jbuf				7.156628	46.792343				[7.156628059153822, 46.79234158450981]																													
dbgi_000891			dbgi_000891	jbuf				7.156652	46.792313			Sesleria argentea Savi	[7.156651885559278, 46.79231241320127]																													
dbgi_000880			dbgi_000880	jbuf				7.156658	46.792305			Deschampsia cespitosa (L.) P. Beauv.	[7.156658360578476, 46.79230390107414]																													
dbgi_000551			dbgi_000551	jbuf				7.1566663	46.79231			Dactylis glomerata L.	[7.156666105174847, 46.79230696604503]																													
dbgi_000882			dbgi_000882	jbuf				7.1566744	46.792297			Phyllostachys nigra var. henonis (Mitford) Rendle	[7.156674574973388, 46.79229861114954]																													
dbgi_000871			dbgi_000871	jbuf				7.1566825	46.79229			Fargesia robusta T.P. Yi 'Campbell'	[7.156682383575643, 46.7922894931707]																													
dbgi_000897			dbgi_000897	jbuf				7.1566353	46.792343			Lolium multiflorum Lam.	[7.156635461369855, 46.792343835756206]																													
dbgi_000884			dbgi_000884	jbuf				7.156633	46.792336				[7.156633064607913, 46.79233556167639]																													
dbgi_000543			dbgi_000543	jbuf				7.1566467	46.792336			Festuca ovina L.	[7.156646739747568, 46.792333696133866]																													
dbgi_000559			dbgi_000559	jbuf				7.1566367	46.79233				[7.156636831503722, 46.792330766553846]																													
dbgi_000558			dbgi_000558	jbuf				7.156649	46.792328			Festuca rubra L. s.l.	[7.156648882185791, 46.79232845005821]																													
dbgi_000516			dbgi_000516	jbuf				7.156706	46.792236			Pennisetum compressum R. Br.	[7.156706092540398, 46.792234973982936]																													
dbgi_000874			dbgi_000874	jbuf				7.1567016	46.792236				[7.156701610320697, 46.79223780381796]																													
dbgi_000877			dbgi_000877	jbuf				7.1566534	46.792274				[7.156653354140619, 46.7922734770434]																													
dbgi_000550			dbgi_000550	jbuf				7.1566105	46.79232			Molinia caerulea (L.) Moench	[7.15661072620022, 46.79232040437963]																													
dbgi_000522			dbgi_000522	jbuf				7.1566043	46.79233			Cortaderia selloana (Schult. et Schult. f.) Asch. et Graebn.	[7.156604482979329, 46.792330208327584]																													
dbgi_000875			dbgi_000875	jbuf				7.156595	46.79235			Bromus erectus Huds. subsp. erectus	[7.156595030365776, 46.792350906199424]																													
dbgi_000561			dbgi_000561	jbuf				7.156585	46.792355				[7.156585089225844, 46.79235354873149]																													
dbgi_000557			dbgi_000557	jbuf				7.1565804	46.79236			Hystrix patula Moench	[7.156580662477073, 46.79235748948575]																													
dbgi_000873			dbgi_000873	jbuf				7.15659	46.792362			Brachypodium pinnatum (L.) P. Beauv.	[7.156589760751856, 46.79236221139369]																													
dbgi_000878			dbgi_000878	jbuf				7.1565824	46.79237			Hordeum bulbosum L.	[7.156582157469217, 46.7923689211636]																													
dbgi_000511			dbgi_000511	jbuf				7.156574	46.792366			Secale strictum (C. Presl) C. Presl subsp. strictum	[7.1565736686786, 46.79236658604364]																													
dbgi_000507			dbgi_000507	jbuf				7.156648	46.792213			Gunnera manicata Delchev.	[7.15664797491447, 46.7922120055686]																													
dbgi_000521			dbgi_000521	jbuf				7.1566067	46.79222			Tetracentron sinense Oliv.	[7.156606645199234, 46.79222102074524]																													
dbgi_000525			dbgi_000525	jbuf				7.156631	46.792244			Buxus sempervirens L.	[7.156631112640233, 46.79224484250431]																													
dbgi_000555			dbgi_000555	jbuf				7.1566176	46.792263			Sarcococca confusa Sealy	[7.156617475017485, 46.79226212854583]																													
dbgi_000513			dbgi_000513	jbuf				7.1565776	46.792255				[7.156577712445619, 46.79225372790189]																													
dbgi_000508			dbgi_000508	jbuf				7.156571	46.792286			Akebia quinata (Houtt.) Decne.	[7.156571077973002, 46.79228677661318]																													
dbgi_000514			dbgi_000514	jbuf				7.1565638	46.7923			Sinofranchetia chinensis (Franch.) Hemsl.	[7.156563917569168, 46.79230092964352]																													
dbgi_000553			dbgi_000553	jbuf				7.1565447	46.79233			Berberis candidula (C.K. Schneid.) C.K. Schneid.	[7.156544825888167, 46.7923335913217]																													
dbgi_000519			dbgi_000519	jbuf				7.1565413	46.792343			Berberis wallichiana DC.	[7.156541337952978, 46.792344236805086]																													
dbgi_000547			dbgi_000547	jbuf				7.156534	46.792355			Berberis gagnepaini C.K.Schneid.	[7.156534421054416, 46.79235430808021]																													
dbgi_000523			dbgi_000523	jbuf				7.15653	46.792362			Berberis stenophylla Lindl.	[7.156529712982528, 46.79236202772307]																													
dbgi_000554			dbgi_000554	jbuf				7.156522	46.79237			Berberis vulgaris L.	[7.156521565538487, 46.79237115310274]																													
dbgi_000887			dbgi_000887	jbuf				7.1565166	46.792385			Epimedium pinnatum subsp. colchicum (Boiss.) N. Busch	[7.156516697386941, 46.79238320942815]																													
dbgi_000548			dbgi_000548	jbuf				7.1565094	46.792385			Mahonia bealei Carr.	[7.156509421184063, 46.79238328566981]																													
dbgi_000509			dbgi_000509	jbuf				7.156506	46.792393			Mahonia aquifolium (Pursh) Nutt.	[7.156506114612362, 46.79239183132775]																													
dbgi_000524			dbgi_000524	jbuf				7.1565022	46.792397			Nandina domestica Thunb.	[7.156502454463824, 46.79239615248672]																													
dbgi_001835	dbgi_001835_01_01	dbgi_001835_01	dbgi_001835	jbuf	positive			7.1568403	46.79214			Silene pratensis (Rafn) Godr.	[7.156840546837946, 46.79214230369018]		47.9	1700	mg	µl	MeOH/H2O	120	µl	202405081555_EB_dbgi_001835_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202405081555_EB_dbgi_001835_01_01.mzML	202405081555_EB_dbgi_001835_01_01.mzML	741a9e1f96e02ab925b3deea695371bf62728f91	2024-05-09T01:22:52Z	MS:1000130|positive scan	3473	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202405081555_EB_dbgi_001835_01_01.raw	bc88514c7e905315e95e7bc48b4d6c7f9a6ed54c
dbgi_001835	dbgi_001835_01_01	dbgi_001835_01	dbgi_001835	jbuf	negative			7.1568403	46.79214			Silene pratensis (Rafn) Godr.	[7.156840546837946, 46.79214230369018]		47.9	1700	mg	µl	MeOH/H2O	120	µl	202405081611_EB_dbgi_001835_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202405081611_EB_dbgi_001835_01_01.mzML	202405081611_EB_dbgi_001835_01_01.mzML	610934841c21ee66f971914228f81a189af0edb4	2024-05-10T22:03:12Z	MS:1000129|negative scan	3463	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202405081611_EB_dbgi_001835_01_01.raw	ef0e7e896f760f348879883031193e637d82fc65
dbgi_001884	dbgi_001884_01_01	dbgi_001884_01	dbgi_001884	jbuf	positive			7.1568513	46.792145			Cucubalus baccifer L.	[7.156851312721774, 46.7921461578759]		51.1	1700	mg	µl	MeOH/H2O	125	µl	20240307_EB_dbgi_001884_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/20240307_EB_dbgi_001884_01_01.mzML	20240307_EB_dbgi_001884_01_01.mzML	92d1424f566b71cda4fa08eb2f8005cd92d66f8e	2024-03-08T09:25:33Z	MS:1000130|positive scan	5020	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	20240307_EB_dbgi_001884_01_01.raw	3110e711f202f21905b369d1b5a7d04ec009c180
dbgi_001884	dbgi_001884_01_01	dbgi_001884_01	dbgi_001884	jbuf	negative			7.1568513	46.792145			Cucubalus baccifer L.	[7.156851312721774, 46.7921461578759]		51.1	1700	mg	µl	MeOH/H2O	125	µl	20240328_EB_dbgi_001884_01_01_100mm_C18_15min_DDA_neg	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/20240328_EB_dbgi_001884_01_01_100mm_C18_15min_DDA_neg.mzML	20240328_EB_dbgi_001884_01_01_100mm_C18_15min_DDA_neg.mzML	9af5f56640eb7ce8591a0fbee9ae0f3c119d6e7c	2024-03-30T03:31:36Z	MS:1000129|negative scan	4562	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	20240328_EB_dbgi_001884_01_01_100mm_C18_15min_DDA_neg.raw	298d8b1aa07c30f9d839f75079509736feba23e2
dbgi_001838	dbgi_001838_01_01	dbgi_001838_01	dbgi_001838	jbuf	positive			7.1568522	46.79214			Petrorhagia prolifera (L.) P.W. Ball et Heywood	[7.156852385714322, 46.79214081372969]		49.7	1700	mg	µl	MeOH/H2O	125	µl	20240307_EB_dbgi_001838_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/20240307_EB_dbgi_001838_01_01.mzML	20240307_EB_dbgi_001838_01_01.mzML	e6fbdb6d20916a3cd9e8f0f6705ad265b4149413	2024-03-08T18:56:00Z	MS:1000130|positive scan	4869	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	20240307_EB_dbgi_001838_01_01.raw	75990f0564a1226ae750e67369fefd2b255e85af
dbgi_001838	dbgi_001838_01_01	dbgi_001838_01	dbgi_001838	jbuf	negative			7.1568522	46.79214			Petrorhagia prolifera (L.) P.W. Ball et Heywood	[7.156852385714322, 46.79214081372969]		49.7	1700	mg	µl	MeOH/H2O	125	µl	20240328_EB_dbgi_001838_01_01_100mm_C18_15min_DDA_neg	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/20240328_EB_dbgi_001838_01_01_100mm_C18_15min_DDA_neg.mzML	20240328_EB_dbgi_001838_01_01_100mm_C18_15min_DDA_neg.mzML	9800bc0f2ea28db0c7308aaf7d71266ff44593e1	2024-03-30T13:01:59Z	MS:1000129|negative scan	4474	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	20240328_EB_dbgi_001838_01_01_100mm_C18_15min_DDA_neg.raw	13e2507faaec11c02bf944bf46a7be762d9670d3
dbgi_001805	dbgi_001805_01_01	dbgi_001805_01	dbgi_001805	jbuf	positive			7.156864	46.79214			Gypsophila fastigiata L.	[7.156863975847683, 46.79214242052335]		51.5	1700	mg	µl	MeOH/H2O	125	µl	20240307_EB_dbgi_001805_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/20240307_EB_dbgi_001805_01_01.mzML	20240307_EB_dbgi_001805_01_01.mzML	99c18d56d73124283e3239fdc088591c946505d4	2024-03-08T12:19:50Z	MS:1000130|positive scan	4785	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	20240307_EB_dbgi_001805_01_01.raw	58eea6772c83debca10b6f0f6eb7443b622de8e6
dbgi_001805	dbgi_001805_01_01	dbgi_001805_01	dbgi_001805	jbuf	negative			7.156864	46.79214			Gypsophila fastigiata L.	[7.156863975847683, 46.79214242052335]		51.5	1700	mg	µl	MeOH/H2O	125	µl	20240328_EB_dbgi_001805_01_01_100mm_C18_15min_DDA_neg	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/20240328_EB_dbgi_001805_01_01_100mm_C18_15min_DDA_neg.mzML	20240328_EB_dbgi_001805_01_01_100mm_C18_15min_DDA_neg.mzML	ed0905d938c3b2d8008b35c22ed9b345f06ae003	2024-03-30T06:25:57Z	MS:1000129|negative scan	4283	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	20240328_EB_dbgi_001805_01_01_100mm_C18_15min_DDA_neg.raw	1900879a4a927eaaef084f5eac28d1f767e7b026
dbgi_001833	dbgi_001833_01_01	dbgi_001833_01	dbgi_001833	jbuf	positive			7.1568623	46.792133			Gypsophila paniculata L.	[7.156862290844595, 46.79213438263957]		48.8	1700	mg	µl	MeOH/H2O	120	µl	202405081555_EB_dbgi_001833_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202405081555_EB_dbgi_001833_01_01.mzML	202405081555_EB_dbgi_001833_01_01.mzML	966a05646c3cd44d8252fb5a29524b17f8c89ede	2024-05-09T00:51:08Z	MS:1000130|positive scan	3524	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202405081555_EB_dbgi_001833_01_01.raw	99d5ce84f9034c4a87fc998d700f0ca108d24c76
dbgi_001833	dbgi_001833_01_01	dbgi_001833_01	dbgi_001833	jbuf	negative			7.1568623	46.792133			Gypsophila paniculata L.	[7.156862290844595, 46.79213438263957]		48.8	1700	mg	µl	MeOH/H2O	120	µl	202405081611_EB_dbgi_001833_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202405081611_EB_dbgi_001833_01_01.mzML	202405081611_EB_dbgi_001833_01_01.mzML	d6a7b53d714134508f851e1c966bff1e1756f62b	2024-05-10T21:31:30Z	MS:1000129|negative scan	3594	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202405081611_EB_dbgi_001833_01_01.raw	006e4a9c0518448c0c78ea3e28e7037b19e4cc4b
dbgi_001837	dbgi_001837_01_01	dbgi_001837_01	dbgi_001837	jbuf	positive			7.1568685	46.792133			Saponaria officinalis L.	[7.156868409138973, 46.79213399775566]		50.1	1700	mg	µl	MeOH/H2O	125	µl	20240307_EB_dbgi_001837_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/20240307_EB_dbgi_001837_01_01.mzML	20240307_EB_dbgi_001837_01_01.mzML	cbe7cb7734450918b24d44024fb10a6fe5b3205d	2024-03-08T19:43:32Z	MS:1000130|positive scan	4913	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	20240307_EB_dbgi_001837_01_01.raw	b4a8260951aa4ee8efeb4713e069c8e9b8a8ee70
dbgi_001837	dbgi_001837_01_01	dbgi_001837_01	dbgi_001837	jbuf	negative			7.1568685	46.792133			Saponaria officinalis L.	[7.156868409138973, 46.79213399775566]		50.1	1700	mg	µl	MeOH/H2O	125	µl	20240328_EB_dbgi_001837_01_01_100mm_C18_15min_DDA_neg	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/20240328_EB_dbgi_001837_01_01_100mm_C18_15min_DDA_neg.mzML	20240328_EB_dbgi_001837_01_01_100mm_C18_15min_DDA_neg.mzML	37fdba124f5113724ff3662c3a383ffa4cf22699	2024-03-30T13:49:29Z	MS:1000129|negative scan	4582	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	20240328_EB_dbgi_001837_01_01_100mm_C18_15min_DDA_neg.raw	7c43ac8795220d3efd4f656965e91635d5318ec7
dbgi_001842	dbgi_001842_01_01	dbgi_001842_01	dbgi_001842	jbuf	positive			7.1568723	46.792137			Dianthus collinus Waldst. et Kit.	[7.156872184901688, 46.79213717217592]		48.4	1700	mg	µl	MeOH/H2O	120	µl	20240405_EB_dbgi_001842_01_01_100mm_C18_15min_DDA_ELON_pos	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/20240405_EB_dbgi_001842_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	20240405_EB_dbgi_001842_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbb1fb104218ef2774b10b4ebf75a04c312ea611	2024-04-08T17:37:34Z	MS:1000130|positive scan	4875	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	20240405_EB_dbgi_001842_01_01_100mm_C18_15min_DDA_ELON_pos.raw	3ffe589c6cc8869b60c288b4fce6106392cd6620
dbgi_001842	dbgi_001842_01_01	dbgi_001842_01	dbgi_001842	jbuf	negative			7.1568723	46.792137			Dianthus collinus Waldst. et Kit.	[7.156872184901688, 46.79213717217592]		48.4	1700	mg	µl	MeOH/H2O	120	µl	202404101527_EB_dbgi_001842_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202404101527_EB_dbgi_001842_01_01.mzML	202404101527_EB_dbgi_001842_01_01.mzML	bb72de508c32d82193500f9b078fe5ee19d3479c	2024-04-10T20:53:20Z	MS:1000129|negative scan	4834	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202404101527_EB_dbgi_001842_01_01.raw	f0e2eb117d77ce5c80024e9c99cb1db1b68c71d2
dbgi_001820	dbgi_001820_01_01	dbgi_001820_01	dbgi_001820	jbuf	positive			7.1568837	46.79213			Dianthus knappii (Pant.) Borb¡s	[7.156883763961392, 46.79213012762093]		51.9	1700	mg	µl	MeOH/H2O	120	µl	202405081555_EB_dbgi_001820_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202405081555_EB_dbgi_001820_01_01.mzML	202405081555_EB_dbgi_001820_01_01.mzML	4c93920f836bf4afb4b8b1d8e7077fc6a7b9a671	2024-05-09T00:03:33Z	MS:1000130|positive scan	3676	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202405081555_EB_dbgi_001820_01_01.raw	5d474abe5c87d9dc43e9c5154ea237a21d01535f
dbgi_001820	dbgi_001820_01_01	dbgi_001820_01	dbgi_001820	jbuf	negative			7.1568837	46.79213			Dianthus knappii (Pant.) Borb¡s	[7.156883763961392, 46.79213012762093]		51.9	1700	mg	µl	MeOH/H2O	120	µl	202405081611_EB_dbgi_001820_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202405081611_EB_dbgi_001820_01_01.mzML	202405081611_EB_dbgi_001820_01_01.mzML	1c854d52c26c8831628e7516965ccaae54f78b42	2024-05-10T20:43:55Z	MS:1000129|negative scan	3712	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202405081611_EB_dbgi_001820_01_01.raw	7ffdc44631656b9e1605d347a9c4432baf166636
dbgi_001913	dbgi_001913_01_01	dbgi_001913_01	dbgi_001913	jbuf	positive			7.156899	46.792133			Dianthus arenarius L.	[7.15689875022016, 46.7921328127987]		50.9	1700	mg	µl	MeOH/H2O	120	µl	202405081555_EB_dbgi_001913_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202405081555_EB_dbgi_001913_01_01.mzML	202405081555_EB_dbgi_001913_01_01.mzML	e366249b7fcffbfeb6bcb9e07c4b4c83958b4cef	2024-05-09T05:20:38Z	MS:1000130|positive scan	3783	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202405081555_EB_dbgi_001913_01_01.raw	93fd3d5c96682e7132ca3a8c0e9752d55f4fc11c
dbgi_001913	dbgi_001913_01_01	dbgi_001913_01	dbgi_001913	jbuf	negative			7.156899	46.792133			Dianthus arenarius L.	[7.15689875022016, 46.7921328127987]		50.9	1700	mg	µl	MeOH/H2O	120	µl	202405081611_EB_dbgi_001913_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202405081611_EB_dbgi_001913_01_01.mzML	202405081611_EB_dbgi_001913_01_01.mzML	a5c87aaf2f2f708bfa535d7c88283d88132b2e2a	2024-05-11T02:01:04Z	MS:1000129|negative scan	3660	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202405081611_EB_dbgi_001913_01_01.raw	0d5fe3f8aaeb79f211560a1d8112e791eac4d011
dbgi_001894	dbgi_001894_01_01	dbgi_001894_01	dbgi_001894	jbuf	positive			7.156896	46.792126			Dianthus hyssopifolius L.	[7.1568959175649, 46.79212669910038]		47.5	1700	mg	µl	MeOH/H2O	125	µl	20240307_EB_dbgi_001894_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/20240307_EB_dbgi_001894_01_01.mzML	20240307_EB_dbgi_001894_01_01.mzML	639ec04e7342a3df476b886fac4c524a7bdedfc8	2024-03-08T09:41:23Z	MS:1000130|positive scan	5007	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	20240307_EB_dbgi_001894_01_01.raw	ce50ac8ff2f26014a916dd89495727a1c826254c
