decision	rationale	group_id	group_size	fingerprint	project	keep_field_data_id	keep_sample_id	delete_field_data_id	delete_sample_id	delete_sample_id_class	delete_canonical_candidate	unified_taxon_name	date	latitude	longitude	coordinate_status
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	12	3	champex_gradient|geranium robertiarum|20250618114519|7.051058|46.134243	champex_gradient	73840	grad_000216	73872	grad_2	short_numeric_suffix		Geranium robertiarum	20250618114519	7.0510583	46.134243	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	12	3	champex_gradient|geranium robertiarum|20250618114519|7.051058|46.134243	champex_gradient	73840	grad_000216	73914	grad_34	short_numeric_suffix		Geranium robertiarum	20250618114519	7.0510583	46.134243	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	13	3	champex_gradient|geranium robertiarum|20250618150529|7.050455|46.08022	champex_gradient	73850	grad_000007	73882	grad_12	short_numeric_suffix		Geranium robertiarum	20250618150529	7.050455	46.08022	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	13	3	champex_gradient|geranium robertiarum|20250618150529|7.050455|46.08022	champex_gradient	73850	grad_000007	73924	grad_44	short_numeric_suffix		Geranium robertiarum	20250618150529	7.050455	46.08022	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	14	3	champex_gradient|geranium robertiarum|20250624163459|7.07456|46.06893	champex_gradient	73864	grad_000114	73896	grad_26	short_numeric_suffix		Geranium robertiarum	20250624163459	7.0745597	46.06893	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	14	3	champex_gradient|geranium robertiarum|20250624163459|7.07456|46.06893	champex_gradient	73864	grad_000114	73938	grad_58	short_numeric_suffix		Geranium robertiarum	20250624163459	7.0745597	46.06893	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	15	3	champex_gradient|geranium robertiarum|20250624172838|7.076363|46.06346	champex_gradient	73869	grad_000030	73901	grad_31	short_numeric_suffix		Geranium robertiarum	20250624172838	7.076363	46.06346	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	15	3	champex_gradient|geranium robertiarum|20250624172838|7.076363|46.06346	champex_gradient	73869	grad_000030	73943	grad_63	short_numeric_suffix		Geranium robertiarum	20250624172838	7.076363	46.06346	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	16	3	champex_gradient|glechauma hederaceae|20250618120735|7.050433|46.134087	champex_gradient	73842	grad_000212	73874	grad_4	short_numeric_suffix		Glechauma hederaceae	20250618120735	7.050433	46.134087	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	16	3	champex_gradient|glechauma hederaceae|20250618120735|7.050433|46.134087	champex_gradient	73842	grad_000212	73916	grad_36	short_numeric_suffix		Glechauma hederaceae	20250618120735	7.050433	46.134087	looks_swapped_ch_lat_lon
