backup_kind	field_data_id	target_field	old_value	new_value	directus_row_json
field_data_unified_taxon_update	65755	taxon_name_unified		Delphinium elatum L.	"{""id"": 65755, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65756	taxon_name_unified		Delphinium caucasicum C.A.Mey	"{""id"": 65756, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65757	taxon_name_unified		Delphinium vestitum Royle	"{""id"": 65757, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65758	taxon_name_unified		Delphinium grandiflorum L.	"{""id"": 65758, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65759	taxon_name_unified		Aconitum variegatum L.	"{""id"": 65759, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65760	taxon_name_unified		Aconitum carmichaelii Debeaux	"{""id"": 65760, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65761	taxon_name_unified		Aconitum vulparia aggr.	"{""id"": 65761, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65762	taxon_name_unified		Aconitum forrestii Stapf	"{""id"": 65762, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65763	taxon_name_unified		Nigella damascena L.	"{""id"": 65763, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65764	taxon_name_unified		Nigella arvensis L.	"{""id"": 65764, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65765	taxon_name_unified		Nigella sativa L.	"{""id"": 65765, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65766	taxon_name_unified		Helleborus niger L.	"{""id"": 65766, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65767	taxon_name_unified		Helleborus purpurascens Waldst. et Kit.	"{""id"": 65767, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65768	taxon_name_unified		Cimicifuga foetida L.	"{""id"": 65768, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65769	taxon_name_unified		Cimicifuga racemosa (L.) Nutt. s.l.	"{""id"": 65769, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65770	taxon_name_unified		Pulsatilla vulgaris Mill.	"{""id"": 65770, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65771	taxon_name_unified		Anemone hupehensis var. japonica (Thunb.) Bowles et Stearn	"{""id"": 65771, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65772	taxon_name_unified		Anemone blanda Schott et Kotschy	"{""id"": 65772, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65773	taxon_name_unified		Fuchsia corymbiflora Ruiz et Pav.	"{""id"": 65773, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65774	taxon_name_unified		Fuchsia magellanica Lam.	"{""id"": 65774, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65775	taxon_name_unified		Fuchsia fulgens Mo§. et Sess	"{""id"": 65775, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65776	taxon_name_unified		Epilobium angustifolium L.	"{""id"": 65776, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65777	taxon_name_unified		Epilobium hirsutum L.	"{""id"": 65777, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65778	taxon_name_unified		Epilobium fleischeri Hochst.	"{""id"": 65778, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65779	taxon_name_unified		Epilobium montanum L.	"{""id"": 65779, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65780	taxon_name_unified		Epilobium dodonaei Vill.	"{""id"": 65780, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65781	taxon_name_unified		Gaura biennis L.	"{""id"": 65781, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65782	taxon_name_unified		Gaura lindheimeri Engelm. & A. Gray	"{""id"": 65782, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65783	taxon_name_unified		Oenothera glazioviana Micheli	"{""id"": 65783, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65784	taxon_name_unified		Oenothera odorata Jacq.	"{""id"": 65784, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65785	taxon_name_unified		Lythrum virgatum L.	"{""id"": 65785, ""taxon_name_unified"": null}"
field_data_unified_taxon_update	65786	taxon_name_unified		Lythrum hyssopifolia L.	"{""id"": 65786, ""taxon_name_unified"": null}"
