field_data_id	sample_id	project	target_field	current_value	new_value	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	skip_reason
73541	dbgi_001534	jbc	taxon_name_unified	Carex pulicaris	Carex pulicaris	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73542	dbgi_001357	jbc	taxon_name_unified	Buxus sempervirens	Buxus sempervirens	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73543	dbgi_001397	jbc	taxon_name_unified	Vicia craca	Vicia craca	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73544	dbgi_001378	jbc	taxon_name_unified	Iris pseudacorus	Iris pseudacorus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73545	dbgi_001392	jbc	taxon_name_unified	Calamintha sylvatica	Calamintha sylvatica	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73546	dbgi_001584	jbc	taxon_name_unified	Cicerbita plumieri	Cicerbita plumieri	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73547	dbgi_001391	jbc	taxon_name_unified	Salix appendiculata	Salix appendiculata	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73548	dbgi_001376	jbc	taxon_name_unified	Rosa glauca	Rosa glauca	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73549	dbgi_001427	jbc	taxon_name_unified	Lilium martagon	Lilium martagon	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73550	dbgi_001396	jbc	taxon_name_unified	Poa pratensis	Poa pratensis	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73551	dbgi_001580	jbc	taxon_name_unified	Polypodium interjectum	Polypodium interjectum	name_proposition	resolved_from_fallback_taxon_field	name_proposition		target_field_already_populated
73552	dbgi_001416	jbc	taxon_name_unified	Polypodium vulgare	Polypodium vulgare	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73553	dbgi_001383	jbc	taxon_name_unified	Pinus sibirica	Pinus sibirica	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73554	dbgi_001386	jbc	taxon_name_unified	Cytisus scoparius	Cytisus scoparius	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
