collection	id	container_id	sample_id	issue
Dried_Samples_Data	4263	dbgi_006395		missing_field_data_for_dried_sample
Dried_Samples_Data	4264	dbgi_006396		missing_field_data_for_dried_sample
Dried_Samples_Data	4265	dbgi_006406		missing_field_data_for_dried_sample
Dried_Samples_Data	4266	dbgi_006415		missing_field_data_for_dried_sample
Dried_Samples_Data	4267	dbgi_006378		missing_field_data_for_dried_sample
Dried_Samples_Data	4268	dbgi_006397		missing_field_data_for_dried_sample
Dried_Samples_Data	4269	dbgi_006404		missing_field_data_for_dried_sample
Dried_Samples_Data	4270	dbgi_006428		missing_field_data_for_dried_sample
Dried_Samples_Data	4271	dbgi_006416		missing_field_data_for_dried_sample
Dried_Samples_Data	4272	dbgi_006569		missing_field_data_for_dried_sample
Dried_Samples_Data	4273	dbgi_006435		missing_field_data_for_dried_sample
Dried_Samples_Data	4274	dbgi_006422		missing_field_data_for_dried_sample
Dried_Samples_Data	4275	dbgi_006420		missing_field_data_for_dried_sample
Dried_Samples_Data	4276	dbgi_006403		missing_field_data_for_dried_sample
Dried_Samples_Data	4277	dbgi_006436		missing_field_data_for_dried_sample
Dried_Samples_Data	4278	dbgi_006421		missing_field_data_for_dried_sample
Dried_Samples_Data	4279	dbgi_006413		missing_field_data_for_dried_sample
Dried_Samples_Data	4280	dbgi_006398		missing_field_data_for_dried_sample
Dried_Samples_Data	4281	dbgi_006386		missing_field_data_for_dried_sample
Dried_Samples_Data	4282	dbgi_006402		missing_field_data_for_dried_sample
Dried_Samples_Data	4283	dbgi_006572		missing_field_data_for_dried_sample
Dried_Samples_Data	4284	dbgi_006532		missing_field_data_for_dried_sample
Dried_Samples_Data	4285	dbgi_006546		missing_field_data_for_dried_sample
Dried_Samples_Data	4286	dbgi_006541		missing_field_data_for_dried_sample
Dried_Samples_Data	4287	dbgi_006530		missing_field_data_for_dried_sample
Dried_Samples_Data	4288	dbgi_006539		missing_field_data_for_dried_sample
Dried_Samples_Data	4289	dbgi_006542		missing_field_data_for_dried_sample
Dried_Samples_Data	4290	dbgi_006540		missing_field_data_for_dried_sample
Dried_Samples_Data	4291	dbgi_006381		missing_field_data_for_dried_sample
Dried_Samples_Data	4292	dbgi_006380		missing_field_data_for_dried_sample
Dried_Samples_Data	4293	dbgi_006576		missing_field_data_for_dried_sample
Dried_Samples_Data	4294	dbgi_006575		missing_field_data_for_dried_sample
Dried_Samples_Data	4295	dbgi_006531		missing_field_data_for_dried_sample
Dried_Samples_Data	4296	dbgi_006568		missing_field_data_for_dried_sample
Dried_Samples_Data	4297	dbgi_006528		missing_field_data_for_dried_sample
Dried_Samples_Data	4298	dbgi_006411		missing_field_data_for_dried_sample
Dried_Samples_Data	4299	dbgi_006384		missing_field_data_for_dried_sample
Dried_Samples_Data	4300	dbgi_006387		missing_field_data_for_dried_sample
Dried_Samples_Data	4301	dbgi_006529		missing_field_data_for_dried_sample
Dried_Samples_Data	4302	dbgi_006571		missing_field_data_for_dried_sample
Dried_Samples_Data	4303	dbgi_006431		missing_field_data_for_dried_sample
Dried_Samples_Data	4304	dbgi_006385		missing_field_data_for_dried_sample
Dried_Samples_Data	4305	dbgi_006407		missing_field_data_for_dried_sample
Dried_Samples_Data	4306	dbgi_006408		missing_field_data_for_dried_sample
Dried_Samples_Data	4307	dbgi_006430		missing_field_data_for_dried_sample
Dried_Samples_Data	4308	dbgi_006548		missing_field_data_for_dried_sample
Dried_Samples_Data	4309	dbgi_006550		missing_field_data_for_dried_sample
Dried_Samples_Data	4310	dbgi_006549		missing_field_data_for_dried_sample
Dried_Samples_Data	4311	dbgi_006551		missing_field_data_for_dried_sample
Dried_Samples_Data	4312	dbgi_006552		missing_field_data_for_dried_sample
Dried_Samples_Data	4313	dbgi_006589		missing_field_data_for_dried_sample
Dried_Samples_Data	4314	dbgi_006590		missing_field_data_for_dried_sample
Dried_Samples_Data	4315	dbgi_006588		missing_field_data_for_dried_sample
Dried_Samples_Data	4316	dbgi_006592		missing_field_data_for_dried_sample
Dried_Samples_Data	4317	dbgi_006591		missing_field_data_for_dried_sample
Dried_Samples_Data	4318	dbgi_006560		missing_field_data_for_dried_sample
Dried_Samples_Data	4319	dbgi_006559		missing_field_data_for_dried_sample
Dried_Samples_Data	4320	dbgi_006562		missing_field_data_for_dried_sample
Dried_Samples_Data	4321	dbgi_006561		missing_field_data_for_dried_sample
Dried_Samples_Data	4322	dbgi_006558		missing_field_data_for_dried_sample
Dried_Samples_Data	4323	dbgi_006556		missing_field_data_for_dried_sample
Dried_Samples_Data	4324	dbgi_006555		missing_field_data_for_dried_sample
Dried_Samples_Data	4325	dbgi_006553		missing_field_data_for_dried_sample
Dried_Samples_Data	4326	dbgi_006554		missing_field_data_for_dried_sample
Dried_Samples_Data	4327	dbgi_006557		missing_field_data_for_dried_sample
Dried_Samples_Data	4328	dbgi_006563		missing_field_data_for_dried_sample
Dried_Samples_Data	4329	dbgi_006565		missing_field_data_for_dried_sample
Dried_Samples_Data	4330	dbgi_006566		missing_field_data_for_dried_sample
Dried_Samples_Data	4331	dbgi_006564		missing_field_data_for_dried_sample
Dried_Samples_Data	4332	dbgi_006567		missing_field_data_for_dried_sample
Dried_Samples_Data	4333	dbgi_006579		missing_field_data_for_dried_sample
Dried_Samples_Data	4334	dbgi_006582		missing_field_data_for_dried_sample
Dried_Samples_Data	4335	dbgi_006580		missing_field_data_for_dried_sample
Dried_Samples_Data	4336	dbgi_006578		missing_field_data_for_dried_sample
Dried_Samples_Data	4337	dbgi_006581		missing_field_data_for_dried_sample
Dried_Samples_Data	4338	dbgi_004247		missing_field_data_for_dried_sample
Dried_Samples_Data	4339	dbgi_004245		missing_field_data_for_dried_sample
Dried_Samples_Data	4340	dbgi_004246		missing_field_data_for_dried_sample
Dried_Samples_Data	4341	dbgi_004243		missing_field_data_for_dried_sample
Dried_Samples_Data	4342	dbgi_004244		missing_field_data_for_dried_sample
Dried_Samples_Data	4343	dbgi_004252		missing_field_data_for_dried_sample
Dried_Samples_Data	4344	dbgi_004251		missing_field_data_for_dried_sample
Dried_Samples_Data	4345	dbgi_004250		missing_field_data_for_dried_sample
Dried_Samples_Data	4346	dbgi_004249		missing_field_data_for_dried_sample
Dried_Samples_Data	4347	dbgi_004248		missing_field_data_for_dried_sample
Dried_Samples_Data	4348	dbgi_004255		missing_field_data_for_dried_sample
Dried_Samples_Data	4349	dbgi_004257		missing_field_data_for_dried_sample
Dried_Samples_Data	4350	dbgi_004254		missing_field_data_for_dried_sample
Dried_Samples_Data	4351	dbgi_004253		missing_field_data_for_dried_sample
Dried_Samples_Data	4352	dbgi_004256		missing_field_data_for_dried_sample
Dried_Samples_Data	4353	dbgi_004262		missing_field_data_for_dried_sample
Dried_Samples_Data	4354	dbgi_004258		missing_field_data_for_dried_sample
Dried_Samples_Data	4355	dbgi_004261		missing_field_data_for_dried_sample
Dried_Samples_Data	4356	dbgi_004260		missing_field_data_for_dried_sample
Dried_Samples_Data	4357	dbgi_004259		missing_field_data_for_dried_sample
Dried_Samples_Data	4358	dbgi_006505		missing_field_data_for_dried_sample
Dried_Samples_Data	4359	dbgi_006504		missing_field_data_for_dried_sample
Dried_Samples_Data	4360	dbgi_006503		missing_field_data_for_dried_sample
Dried_Samples_Data	4361	dbgi_006507		missing_field_data_for_dried_sample
Dried_Samples_Data	4362	dbgi_006506		missing_field_data_for_dried_sample
Dried_Samples_Data	4363	dbgi_006486		missing_field_data_for_dried_sample
Dried_Samples_Data	4364	dbgi_006484		missing_field_data_for_dried_sample
Dried_Samples_Data	4365	dbgi_006487		missing_field_data_for_dried_sample
Dried_Samples_Data	4366	dbgi_006483		missing_field_data_for_dried_sample
Dried_Samples_Data	4367	dbgi_006485		missing_field_data_for_dried_sample
Dried_Samples_Data	4368	dbgi_006500		missing_field_data_for_dried_sample
Dried_Samples_Data	4369	dbgi_006498		missing_field_data_for_dried_sample
Dried_Samples_Data	4370	dbgi_006499		missing_field_data_for_dried_sample
Dried_Samples_Data	4371	dbgi_006502		missing_field_data_for_dried_sample
Dried_Samples_Data	4372	dbgi_006501		missing_field_data_for_dried_sample
Dried_Samples_Data	4373	dbgi_004059		missing_field_data_for_dried_sample
Dried_Samples_Data	4374	dbgi_004061		missing_field_data_for_dried_sample
