field_data_id	sample_id	project	target_field	current_value	new_value	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	skip_reason
65790	dbgi_001217	jbuf	taxon_name_unified		Pelargonium x hortorum L.H. Bailey	sample_name	resolved_from_primary_taxon_field	sample_name		
65791	dbgi_001192	jbuf	taxon_name_unified		Geranium lucidum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65792	dbgi_001196	jbuf	taxon_name_unified		Geranium robertianum L. subsp. robertianum	sample_name	resolved_from_primary_taxon_field	sample_name		
65793	dbgi_001197	jbuf	taxon_name_unified		Geranium pyrenaicum Burm. f.	sample_name	resolved_from_primary_taxon_field	sample_name		
65794	dbgi_001189	jbuf	taxon_name_unified		Geranium pratense L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65795	dbgi_001214	jbuf	taxon_name_unified		Geranium aristatum Freyn et Sint.	sample_name	resolved_from_primary_taxon_field	sample_name		
65796	dbgi_001216	jbuf	taxon_name_unified		Geranium renardii Trautv.	sample_name	resolved_from_primary_taxon_field	sample_name		
65797	dbgi_001195	jbuf	taxon_name_unified		Geranium sibiricum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65798	dbgi_001212	jbuf	taxon_name_unified		Geranium thunbergii Lindl. & Paxton	sample_name	resolved_from_primary_taxon_field	sample_name		
65799	dbgi_001801	jbuf	taxon_name_unified		Geranium sylvaticum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65800	dbgi_001882	jbuf	taxon_name_unified		Geranium endressii J. Gay	sample_name	resolved_from_primary_taxon_field	sample_name		
65801	dbgi_001902	jbuf	taxon_name_unified		Geranium macrorrhizum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65802	dbgi_001876	jbuf	taxon_name_unified		Geranium ibericum Cav.	sample_name	resolved_from_primary_taxon_field	sample_name		
65803	dbgi_001793	jbuf	taxon_name_unified		Liriodendron chinensis Sarg.	sample_name	resolved_from_primary_taxon_field	sample_name		
65804	dbgi_001817	jbuf	taxon_name_unified		Cotinus coggygria Scop.	sample_name	resolved_from_primary_taxon_field	sample_name		
65805	dbgi_001887	jbuf	taxon_name_unified		Helianthemum nummularium Mill. subsp. nummularium	sample_name	resolved_from_primary_taxon_field	sample_name		
65806	dbgi_001784	jbuf	taxon_name_unified		Cistus salviifolius L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65807	dbgi_001816	jbuf	taxon_name_unified		Cistus laurifolius L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65808	dbgi_001776	jbuf	taxon_name_unified		Thymelaea passerina (L.) Coss. et Germ.	sample_name	resolved_from_primary_taxon_field	sample_name		
65809	dbgi_001892	jbuf	taxon_name_unified		Hibiscus trionum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65810	dbgi_001821	jbuf	taxon_name_unified		Hibiscus syriacus L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65811	dbgi_001883	jbuf	taxon_name_unified		Abutilon theophrasti Medik.	sample_name	resolved_from_primary_taxon_field	sample_name		
65812	dbgi_001775	jbuf	taxon_name_unified		Anoda cristata (L.) Schltdl.	sample_name	resolved_from_primary_taxon_field	sample_name		
65813	dbgi_001886	jbuf	taxon_name_unified		Abelmoschus manihot (L.) Medik.	sample_name	resolved_from_primary_taxon_field	sample_name		
65814	dbgi_001766	jbuf	taxon_name_unified		Lavatera trimestris L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65815	dbgi_001897	jbuf	taxon_name_unified		Malope trifida Cav.	sample_name	resolved_from_primary_taxon_field	sample_name		
65816	dbgi_001780	jbuf	taxon_name_unified		Modiola multifida Moench	sample_name	resolved_from_primary_taxon_field	sample_name		
65817	dbgi_001787	jbuf	taxon_name_unified		Malva verticillata L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65818	dbgi_001791	jbuf	taxon_name_unified		Malva sylvestris L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65819	dbgi_001891	jbuf	taxon_name_unified		Napaea dioica L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65820	dbgi_001778	jbuf	taxon_name_unified		Alcea rosea L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65822	dbgi_001789	jbuf	taxon_name_unified		Kitaibelia vitifolia Willd.	sample_name	resolved_from_primary_taxon_field	sample_name		
65823	dbgi_001807	jbuf	taxon_name_unified		Althaea armeniaca Ten.	sample_name	resolved_from_primary_taxon_field	sample_name		
65824	dbgi_001871	jbuf	taxon_name_unified		Althaea cannabina L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65825	dbgi_001872	jbuf	taxon_name_unified		Tilia mongolica Maxim.	sample_name	resolved_from_primary_taxon_field	sample_name		
65826	dbgi_001878	jbuf	taxon_name_unified		Poncirus trifoliata (L.) Raf.	sample_name	resolved_from_primary_taxon_field	sample_name		
