field_data_id	sample_id	qfield_project	taxon_name	old_name_proposition	new_name_proposition
74756	drog_000423	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
74757	drog_000346	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
74758	drog_000408	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
74759	drog_000398	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
74760	drog_000452	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
74761	drog_000553	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
74794	drog_000427	droguier_jbn	Menyanthes_trifoliata_L	Vaccinium myrtillus	
74795	drog_000360	droguier_jbn	Menyanthes_trifoliata_L	Vaccinium myrtillus	
74796	drog_000450	droguier_jbn	Menyanthes_trifoliata_L	Vaccinium myrtillus	
74797	drog_000335	droguier_jbn	Menyanthes_trifoliata_L	Vaccinium myrtillus	
74798	drog_000358	droguier_jbn	Menyanthes_trifoliata_L	Vaccinium myrtillus	
74799	drog_000332	droguier_jbn	Menyanthes_trifoliata_L	Vaccinium myrtillus	
74800	drog_000375	droguier_jbn	Menyanthes_trifoliata_L	Vaccinium myrtillus	
74801	drog_000382	droguier_jbn	Matricaria_chamomilla_L	Vaccinium myrtillus	
74802	drog_000308	droguier_jbn	Matricaria_chamomilla_L	Vaccinium myrtillus	
74803	drog_000429	droguier_jbn	Matricaria_chamomilla_L	Vaccinium myrtillus	
74804	drog_000470	droguier_jbn	Matricaria_chamomilla_L	Vaccinium myrtillus	
74805	drog_000340	droguier_jbn	Matricaria_chamomilla_L	Vaccinium myrtillus	
74806	drog_000462	droguier_jbn	Matricaria_chamomilla_L	Vaccinium myrtillus	
74807	drog_000482	droguier_jbn	Matricaria_chamomilla_L	Vaccinium myrtillus	
74808	drog_000449	droguier_jbn	Matricaria_chamomilla_L	Vaccinium myrtillus	
74819	drog_000369	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74820	drog_000389	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74821	drog_000542	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74822	drog_000331	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74823	drog_000351	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74824	drog_000378	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74825	drog_000431	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74826	drog_000368	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74827	drog_000350	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74828	drog_000309	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74829	drog_000519	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74830	drog_000310	droguier_jbn	Artemisia_absinthium_L	Tilia cordata	
74831	drog_000430	droguier_jbn	Linum_usitatissimum_L	Tilia cordata	
74832	drog_000401	droguier_jbn	Linum_usitatissimum_L	Tilia cordata	
74833	drog_000320	droguier_jbn	Linum_usitatissimum_L	Tilia cordata	
74834	drog_000484	droguier_jbn	Linum_usitatissimum_L	Tilia cordata	
74835	drog_000377	droguier_jbn	Linum_usitatissimum_L	Tilia cordata	
74836	drog_000496	droguier_jbn	Linum_usitatissimum_L	Tilia cordata	
74837	drog_000321	droguier_jbn	Linum_usitatissimum_L	Tilia cordata	
74838	drog_000493	droguier_jbn	Linum_usitatissimum_L	Tilia cordata	
74839	drog_000487	droguier_jbn	Filipendula_ulmaria_L_Maxim	Tilia cordata	
