project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issue
jbp	74245	dbgi_009912	canonical	dbgi_009912	Spiraea japonica			20250818133500	14.415308	50.121582	out_of_ch_range	coordinates_out_of_ch_range
jbp	74246	dbgi_009839	canonical	dbgi_009839	Spiraea media			20250818134019	14.418057	50.12301	out_of_ch_range	coordinates_out_of_ch_range
jbp	74247	dbgi_009874	canonical	dbgi_009874	Spiraea media			20250818134314	14.418057	50.12301	out_of_ch_range	coordinates_out_of_ch_range
jbp	74248	dbgi_009888	canonical	dbgi_009888	Spiraea media			20250818134558	14.418057	50.12301	out_of_ch_range	coordinates_out_of_ch_range
jbp	74249	dbgi_009901	canonical	dbgi_009901	Spiraea humilis			20250818134827	14.418001	50.123	out_of_ch_range	coordinates_out_of_ch_range
jbp	74250	dbgi_009867	canonical	dbgi_009867	Spiraea media			20250818135247	14.4180565	50.12301	out_of_ch_range	coordinates_out_of_ch_range
jbp	74251	dbgi_009913	canonical	dbgi_009913	Spiraea humilis			20250818135546	14.417999	50.123	out_of_ch_range	coordinates_out_of_ch_range
jbp	74252	dbgi_009833	canonical	dbgi_009833	Spiraea humilis			20250818135838	14.417999	50.123	out_of_ch_range	coordinates_out_of_ch_range
jbp	74253	dbgi_009864	canonical	dbgi_009864	Spiraea humilis			20250818140043	14.417999	50.123	out_of_ch_range	coordinates_out_of_ch_range
jbp	74254	dbgi_009820	canonical	dbgi_009820				20250818140313	14.416558	50.12256	out_of_ch_range	coordinates_out_of_ch_range
jbp	74255	dbgi_009879	canonical	dbgi_009879				20250818140833	14.416558	50.12256	out_of_ch_range	coordinates_out_of_ch_range
jbp	74256	dbgi_009911	canonical	dbgi_009911				20250818141136	14.416558	50.12256	out_of_ch_range	coordinates_out_of_ch_range
jbp	74257	dbgi_009837	canonical	dbgi_009837				20250818141709	14.416558	50.12256	out_of_ch_range	coordinates_out_of_ch_range
jbp	74258	dbgi_009858	canonical	dbgi_009858				20250818142754	14.416558	50.12256	out_of_ch_range	coordinates_out_of_ch_range
jbp	74259	dbgi_009822	canonical	dbgi_009822	Spiraea betulifolia			20250818143107	14.416282	50.122322	out_of_ch_range	coordinates_out_of_ch_range
jbp	74260	dbgi_009860	canonical	dbgi_009860	Spiraea betulifolia			20250818143449	14.416282	50.122322	out_of_ch_range	coordinates_out_of_ch_range
jbp	74261	dbgi_009835	canonical	dbgi_009835	Spiraea betulifolia			20250818143703	14.416282	50.122322	out_of_ch_range	coordinates_out_of_ch_range
jbp	74262	dbgi_009857	canonical	dbgi_009857	Spiraea salicifolia			20250818143935	14.415109	50.12093	out_of_ch_range	coordinates_out_of_ch_range
jbp	74263	dbgi_009915	canonical	dbgi_009915	Spiraea salicifolia			20250818144154	14.415109	50.12093	out_of_ch_range	coordinates_out_of_ch_range
jbp	74264	dbgi_009875	canonical	dbgi_009875	Spiraea salicifolia			20250818144350	14.415109	50.12093	out_of_ch_range	coordinates_out_of_ch_range
jbp	74265	dbgi_009819	canonical	dbgi_009819	Spiraea salicifolia			20250818144653	14.415109	50.12093	out_of_ch_range	coordinates_out_of_ch_range
jbp	74266	dbgi_009900	canonical	dbgi_009900	Caesalpinia mexicana			20250818144953	14.412951	50.12173	out_of_ch_range	coordinates_out_of_ch_range
jbp	74267	dbgi_009845	canonical	dbgi_009845	Caesalpinia mexicana			20250818145602	14.412951	50.12173	out_of_ch_range	coordinates_out_of_ch_range
jbp	74268	dbgi_009830	canonical	dbgi_009830	Caesalpinia mexicana			20250818145811	14.412951	50.12173	out_of_ch_range	coordinates_out_of_ch_range
jbp	74269	dbgi_009862	canonical	dbgi_009862	Coffea arabica			20250818145941	14.41292	50.121666	out_of_ch_range	coordinates_out_of_ch_range
jbp	74270	dbgi_009851	canonical	dbgi_009851	Coffea arabica			20250818150240	14.41292	50.121666	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	74326	dbgi_009960	canonical	dbgi_009960	Acaena novae-zelandiae			20250820183917	-0.29500523	51.475655	out_of_ch_range	coordinates_out_of_ch_range
jbb	74329	dbgi_007867	canonical	dbgi_007867	Acacia retinodes Schltdl.			20251228111920	-74.10103	4.6676435	out_of_ch_range	coordinates_out_of_ch_range
jbb	74330	dbgi_007858	canonical	dbgi_007858	Achyrocline alata (Kunth) DC.			20251228112734	-74.101006	4.667911	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	74858	dbgi_010654	canonical	dbgi_010654	Abutilon pitcairnense			20250922093301	-0.28971964	51.48195	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	74859	dbgi_010668	canonical	dbgi_010668	Leptotes bicolor			20250922093644	-0.28979832	51.48195	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	74860	dbgi_010682	canonical	dbgi_010682	Aechmea distichantha var. schlumbergeri			20250922095305	-0.28974694	51.48192	out_of_ch_range	coordinates_out_of_ch_range
kew-botanical-gardens	74861	dbgi_010712	canonical	dbgi_010712	Acacia cardiophylla			20250922095720	-0.289765	51.481926	out_of_ch_range	coordinates_out_of_ch_range
