filename,injection,file_type,sample_id,container_id,ATTRIBUTE_Species,genus,family,NCBITaxonomy_ID,Ionization.mode,organ,is_wild,collector,latitude,longitude,x_coord,y_coord,date_created
250403_ML_Metabo_DDA_sample_152_nr8.mzML,152,sample,dbgi_003462,dbgi_003462_01_01,Linum flavum,Linum,Linaceae,407263,positive,Leaf,0,Mazzarine Laboureau,46.999924,6.934862,2561685.2,1205553.4,2025-03-04T13:03:32.271Z
250403_ML_Metabo_DDA_sample_153_nr8.mzML,153,sample,dbgi_002235,dbgi_002235_01_01,Cannabis sativa,Cannabis,Cannabaceae,3483,positive,Leaf,0,Mazzarine Laboureau,47.000294,6.9350467,2561699.5,1205594.1,2025-03-04T13:03:24.253Z
250403_ML_Metabo_DDA_sample_154_nr8.mzML,154,sample,dbgi_002009,dbgi_002009_01_01,Linum usitatissimum,Linum,Linaceae,4006,positive,Leaf,0,Mazzarine Laboureau,47.000267,6.9350038,2561696.2,1205591.1,2025-03-04T13:03:24.589Z
250403_ML_Metabo_DDA_sample_155_nr8.mzML,155,sample,dbgi_002183,dbgi_002183_01_01,Pulsatilla vulgaris,Pulsatilla,Ranunculaceae,445234,positive,Leaf,0,Mazzarine Laboureau,47.000263,6.9349523,2561692.2,1205590.8,2025-03-04T13:03:24.919Z
250403_ML_Metabo_DDA_sample_156_nr8.mzML,156,sample,dbgi_003525,dbgi_003525_01_01,Aristolochia clematitis,Aristolochia,Aristolochiaceae,158538,positive,Leaf,0,Mazzarine Laboureau,46.999546,6.933827,2561606.2,1205512,2025-03-04T13:03:41.031Z
250403_ML_Metabo_DDA_sample_79_nr8.mzML,79,sample,dbgi_002024,dbgi_002024_01_01,Mcneillia stellata,Mcneillia,Caryophyllaceae,1479346,positive,Leaf,1,Mazzarine Laboureau,46.999935,6.9348063,2561681,1205554.8,2025-03-04T13:03:33.696Z
250403_ML_Metabo_DDA_sample_80_nr8.mzML,80,sample,dbgi_003262,dbgi_003262_01_01,Trachelium caeruleum,Trachelium,Campanulaceae,28494,positive,Leaf,0,Mazzarine Laboureau,46.999847,6.93463,2561667.5,1205544.8,2025-03-04T13:03:35.678Z
250403_ML_Metabo_DDA_sample_81_nr8.mzML,81,sample,dbgi_003734,dbgi_003734_01_01,Vitex agnus,Vitex,Lamiaceae,54477,positive,Leaf,0,Mazzarine Laboureau,46.999695,6.9335814,2561587.5,1205528.2,2025-03-04T13:03:38.926Z
250403_ML_Metabo_DDA_sample_82_nr8.mzML,82,sample,dbgi_002099,dbgi_002099_01_01,Cornus sanguinea,Cornus,Cornaceae,367354,positive,Leaf,0,Mazzarine Laboureau,47.000145,6.934862,2561685.5,1205577.9,2025-03-04T13:03:21.703Z
250403_ML_Metabo_DDA_sample_83_nr8.mzML,83,sample,dbgi_002197,dbgi_002197_01_01,Buxus sempervirens,Buxus,Buxaceae,4002,positive,Leaf,0,Mazzarine Laboureau,47.000187,6.934977,2561694.2,1205582.5,2025-03-04T13:03:22.012Z
